source_scope,legacy_configuration_status,legacy_acceptance_rule,legacy_selection_rule,legacy_top_n_requested,legacy_top_n_available,rank_in_db,db_name,study_name,condition,legacy_protocol_condition,current_na,trial_id,trial_number,objective,K_bath_value_middle,Va_l,Va_s,ca,d,eps,eps_middle,gki,gl_a,gs,gt,pk,switching_function,wo,zs,zth,wo_middle,w_a,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,w_o_middle,provenance_status,chosen_provenance_status,trace_dataset_kind,chosen_trace_source
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,232,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,12222,12221,1476383.9629742422,9.199999995313954,-65.90956755984686,,,0.7929607128224392,0.0009999999926273491,2.999999924027693,112.94173503752566,1.0068787353796206e-06,19.512823976873122,61.897466688927345,0.009464044697075557,sigmoid,2999.999935178357,0.1947887604735181,675.1649299399176,1.0,200.00000074361293,0.007504615629176459,0.005132193933464357,0.0016178949187395496,0.06666666835501864,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,233,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,13311,13310,1476383.963122194,9.199999995090229,-65.90957548159425,,,0.7929606009669274,0.0009999999926706485,2.99999980957906,112.9415958578234,4.294766028379588e-06,19.51280910891943,61.897485929988086,0.009464038333323568,sigmoid,2999.9999553156404,0.19478926117131035,675.1651036386163,1.0,200.00000189435912,0.007504609524366295,0.005132195499296907,0.0016178936766625355,0.0666666682911055,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,234,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,19676,19675,1476383.9631699887,9.199999984989581,-65.90958425338869,,,0.7929588846046347,0.0009999999986208057,2.9999999469097656,112.94149711043946,2.0084963209808562e-06,19.512797350321502,61.89746923181552,0.009464039799112076,sigmoid,2999.9999305313877,0.1947902305276399,675.1667074381103,1.0,200.00000052688,0.007504594442957782,0.00513219414986809,0.0016178927127671236,0.06666666838604031,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,235,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,16560,16559,1476383.9632147737,9.199999985974214,-65.90958334930232,,,0.7929590956253715,0.0009999999968978957,2.9999999578107315,112.94155317834105,1.2069256918244148e-06,19.5128004050105,61.89746656063856,0.009464043190969194,sigmoid,2999.9999345927677,0.19479007267130694,675.1666177914021,1.0,200.0000007263498,0.007504599129670387,0.005132193923270353,0.0016178929644313546,0.06666666836227736,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,236,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,18742,18741,1476383.9632884269,9.199999985429109,-65.9095848103704,,,0.7929589617758154,0.0009999999989501649,2.9999999568978537,112.94151001643509,2.08405007279161e-06,19.512797713875962,61.897466553976926,0.00946404039478716,sigmoid,2999.999930013573,0.19479018216661045,675.1666797610421,1.0,200.000000487346,0.007504595645654804,0.005132193928851076,0.0016178927432308476,0.06666666838436931,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,237,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,15275,15274,1476383.9634172458,9.199999979670068,-65.90958512091326,,,0.7929578291266561,0.000999999990918219,2.9999998818130655,112.94124064733478,2.137992792126879e-06,19.512787687026897,61.8975163098219,0.009464028493674512,sigmoid,2999.9999169361213,0.1947911762228706,675.1672019921632,1.0,200.00000088611506,0.007504575489136959,0.005132198044096412,0.0016178919086344216,0.06666666880790238,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,238,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,18447,18446,1476383.9634364764,9.199999985523435,-65.90958423579781,,,0.7929589913101365,0.0009999999988324652,2.999999963825739,112.94151867556162,2.305260975856563e-06,19.51279843718444,61.897464910512774,0.009464040571738433,sigmoid,2999.9999297501217,0.19479014646074486,675.1666607475771,1.0,200.00000045703473,0.007504596065483915,0.005132193793361979,0.0016178928034487688,0.06666666838012002,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,239,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,17000,16999,1476383.9635817586,9.19999998472443,-65.90958412985334,,,0.7929587038818162,0.0009999999956238606,2.9999999733056586,112.94150925032929,1.4969624308620611e-06,19.51279867386067,61.89747186117673,0.009464041902427316,sigmoid,2999.999932427498,0.19479033142400617,675.1668309055682,1.0,200.00000021912385,0.007504594400431963,0.0051321943757774305,0.0016178928249972178,0.06666666824131914,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,240,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,12791,12790,1476383.9635945025,9.199999995247683,-65.90957372433365,,,0.7929606678932197,0.0009999999943409877,2.999999832884457,112.94166501661877,4.134739955997006e-06,19.512821207832754,61.897483923874404,0.009464041230726195,sigmoid,2999.9999485898848,0.19478903288039065,675.1650900819942,1.0,200.0000016588412,0.007504612455285612,0.0051321953390047305,0.0016178946817423968,0.06666666836206077,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,241,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,13362,13361,1476383.963610219,9.19999999562251,-65.9095769832622,,,0.7929607185315237,0.0009999999918203846,2.999999808420117,112.94161302609734,2.872687316934299e-06,19.512812236175844,61.89748804563758,0.009464038292936499,sigmoid,2999.9999515337277,0.19478918528428704,675.1650784109595,1.0,200.00000154582514,0.0075046106049767814,0.005132195683658527,0.001617893938776711,0.06666666825897001,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,242,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,16444,16443,1476383.9636216515,9.199999985140527,-65.90958467713338,,,0.7929588573710489,0.0009999999966106964,2.999999965822699,112.94151070038414,1.894297885308626e-06,19.51279832879301,61.89747094573004,0.00946404144789382,sigmoid,2999.9999293107257,0.19479026909905908,675.1667698343504,1.0,200.00000050749122,0.007504595492634131,0.005132194292473891,0.0016178927940533878,0.06666666840670321,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,243,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,18202,18201,1476383.9636594546,9.19999998619296,-65.90958489453712,,,0.7929591148227858,0.0009999999995726726,2.9999999576405574,112.94153578786963,2.179170851177651e-06,19.512799280766895,61.89746376542573,0.009464041694838912,sigmoid,2999.9999307478447,0.19479007988010646,675.1665953049817,1.0,200.00000049077747,0.007504598124985401,0.005132193697551853,0.001617892873120977,0.06666666836919598,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,244,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,17948,17947,1476383.9637914915,9.199999986017122,-65.90958628756559,,,0.7929590515422342,0.0009999999993445697,2.999999969179378,112.94153522214938,1.3535157077751183e-06,19.512798155829188,61.89746231667741,0.009464042046811541,sigmoid,2999.999931212661,0.19479012237543336,675.1666652724215,1.0,200.00000031913922,0.007504597805195505,0.005132193581834098,0.0016178927812358556,0.06666666830165398,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,245,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,13531,13530,1476383.963832891,9.199999996047046,-65.90957364224296,,,0.792960905299426,0.0009999999924085448,2.9999998032361734,112.94162144407633,3.7361798033587007e-06,19.5128119740786,61.89748795679837,0.009464038347187642,sigmoid,2999.9999586002114,0.19478904007757403,675.1648828042185,1.0,200.00000187102117,0.007504612415574396,0.005132195667947624,0.0016178939144144003,0.06666666821033572,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,246,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,17350,17349,1476383.9638947821,9.199999985764146,-65.90958724769214,,,0.79295883609912,0.0009999999989003248,2.999999993774515,112.94154014897967,6.701407544576091e-07,19.512797712798896,61.89746084414902,0.009464044208414502,sigmoid,2999.999934554009,0.19479021859499923,675.1668251408128,1.0,200.00000015563364,0.007504597480294981,0.005132193463935939,0.0016178927458249184,0.06666666817289993,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,247,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,18857,18856,1476383.963897565,9.199999985175301,-65.90958456184214,,,0.7929589059631835,0.0009999999986551867,2.999999953658539,112.94150332948537,2.1741352253771006e-06,19.512797569707466,61.897467708885166,0.009464040109786008,sigmoid,2999.9999299749343,0.19479021473161653,675.1667054975478,1.0,200.0000004757669,0.0075045948914476005,0.005132194024906779,0.0016178927313708657,0.06666666838136825,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,248,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,14446,14445,1476383.964021096,9.199999990913732,-65.9095718375763,,,0.7929608799402275,0.0009999999949650768,2.9999997069372366,112.94152362641398,8.752018798220084e-07,19.512815837137687,61.897554170358156,0.009464038776094067,sigmoid,2999.9999576283167,0.19478921628780785,675.1647861595096,1.0,200.00000228674682,0.007504612515679985,0.0051322011473400415,0.0016178942313547881,0.0666666683705086,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,249,MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,MFA,100,12277,12276,1476383.9642253628,9.199999995085948,-65.90956614922638,,,0.792961020508657,0.0009999999940176502,2.9999999116926075,112.9417357009919,5.630904931831872e-06,19.51282672708984,61.897473251690506,0.009464046261014405,sigmoid,2999.9999400245133,0.19478857767719795,675.1646901027991,1.0,200.0000014165536,0.007504619781275122,0.005132194460343894,0.0016178951413284982,0.06666666847163984,,verified,verified,legacy_optuna_trace_csv,MFA_TRACES.csv
