file_id,region,condition,candidate_id,sweep,current_na,feature,predicted_value,within_threshold,distance_to_interval,reliability_weight
1_VH_1_CONTROL,VH,CONTROL,1,2,75,peak_depolarization_mV,10.295453770952633,True,0.0,0.4
1_VH_1_CONTROL,VH,CONTROL,1,2,75,stim_end_depolarization_mV,8.654189356669306,True,0.0,0.4
1_VH_1_CONTROL,VH,CONTROL,1,2,75,rise_slope_mV_per_s,7.898196652811568,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,2,75,rise_tau_s,0.7801284916201112,False,3.1310431886549277,0.8
1_VH_1_CONTROL,VH,CONTROL,1,2,75,plateau_slope_mV_per_s,-0.0031724521442772604,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,2,75,decay_slope_mV_per_s,6.509571488090896,True,0.0,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,2,75,decay_tau_s,0.7249776536312851,False,0.758577527142353,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,2,75,return_slope_mV_per_s,0.04303201565478952,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,2,75,undershoot_magnitude_mV,0.0,False,0.8061665656924251,0.8
1_VH_1_CONTROL,VH,CONTROL,1,3,100,peak_depolarization_mV,13.445916555834813,True,0.0,0.4
1_VH_1_CONTROL,VH,CONTROL,1,3,100,stim_end_depolarization_mV,11.07734108330041,False,0.05634277522661795,0.4
1_VH_1_CONTROL,VH,CONTROL,1,3,100,rise_slope_mV_per_s,6.87672413461458,False,0.4998559281467764,0.8
1_VH_1_CONTROL,VH,CONTROL,1,3,100,rise_tau_s,0.7871284916201127,False,2.2804506027638713,0.8
1_VH_1_CONTROL,VH,CONTROL,1,3,100,plateau_slope_mV_per_s,-0.01813029504527339,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,3,100,decay_slope_mV_per_s,8.586227955682098,False,0.12263633341108436,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,3,100,decay_tau_s,0.7239776536312874,False,1.302171152869495,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,3,100,return_slope_mV_per_s,0.04397175241691998,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,3,100,undershoot_magnitude_mV,0.11497494407004183,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,4,125,peak_depolarization_mV,17.157052126991374,True,0.0,0.4
1_VH_1_CONTROL,VH,CONTROL,1,4,125,stim_end_depolarization_mV,13.944176232509562,False,0.08188325167937885,0.4
1_VH_1_CONTROL,VH,CONTROL,1,4,125,rise_slope_mV_per_s,8.77473201254719,False,0.35632580510185596,0.8
1_VH_1_CONTROL,VH,CONTROL,1,4,125,rise_tau_s,0.7841284916201126,False,5.039106145251031,0.8
1_VH_1_CONTROL,VH,CONTROL,1,4,125,plateau_slope_mV_per_s,-0.035760717579717556,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,4,125,decay_slope_mV_per_s,11.03793081460078,True,0.0,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,4,125,decay_tau_s,0.7239776536312874,False,1.187979689865727,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,4,125,return_slope_mV_per_s,0.04501054348839227,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,4,125,undershoot_magnitude_mV,0.44398240978546255,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,5,150,peak_depolarization_mV,18.708345512650965,True,0.0,0.4
1_VH_1_CONTROL,VH,CONTROL,1,5,150,stim_end_depolarization_mV,15.148649988773485,False,0.27466487201537004,0.4
1_VH_1_CONTROL,VH,CONTROL,1,5,150,rise_slope_mV_per_s,14.352178660114541,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,5,150,rise_tau_s,0.7801284916201112,False,3.49273743016767,0.8
1_VH_1_CONTROL,VH,CONTROL,1,5,150,plateau_slope_mV_per_s,-0.04312676310549926,False,0.03435624482398792,0.8
1_VH_1_CONTROL,VH,CONTROL,1,5,150,decay_slope_mV_per_s,12.066178919019352,True,0.0,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,5,150,decay_tau_s,0.7239776536312874,False,1.1269575968495475,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,5,150,return_slope_mV_per_s,0.04542222479479944,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,5,150,undershoot_magnitude_mV,0.5798501630410158,False,0.4342544900812811,0.8
1_VH_1_CONTROL,VH,CONTROL,1,6,175,peak_depolarization_mV,19.693779544227596,True,0.0,0.4
1_VH_1_CONTROL,VH,CONTROL,1,6,175,stim_end_depolarization_mV,15.9156188746189,False,0.517160342939811,0.4
1_VH_1_CONTROL,VH,CONTROL,1,6,175,rise_slope_mV_per_s,15.108158138330875,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,6,175,rise_tau_s,0.7801284916201112,False,3.580237430167675,0.8
1_VH_1_CONTROL,VH,CONTROL,1,6,175,plateau_slope_mV_per_s,-0.04780107232470222,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,6,175,decay_slope_mV_per_s,12.720971695441722,True,0.0,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,6,175,decay_tau_s,0.7239776536312874,False,1.1726256983240348,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,6,175,return_slope_mV_per_s,0.04636814893595082,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,6,175,undershoot_magnitude_mV,0.6664164644728743,False,0.11729105122370291,0.8
