file_id,region,condition,fit_scope,heldout_sweep,train_sweeps,candidate_id,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,heldout_trace_rmse_mV,heldout_weighted_pass_fraction,simulation_health,heldout_pass
DH_1_CONTROL,DH,CONTROL,leave_one_out,6,"1,2,3,4,5",DH_1_CONTROL__cand_35,3,True,60.95469714694278,18,4.2676638269087155,0.5769544627905676,ok,False
DH_1_MFA,DH,MFA,leave_one_out,1,"2,3,4,5,6",DH_1_MFA__cand_19,3,True,20.87690582120753,30,2.487214943432062,1.0,ok,True
DH_1_MFA,DH,MFA,leave_one_out,2,"1,3,4,5,6",DH_1_MFA__cand_19,3,True,23.03738467353712,32,1.9629197326084682,1.0,ok,True
DH_1_MFA,DH,MFA,leave_one_out,3,"1,2,4,5,6",DH_1_MFA__cand_19,3,True,22.81557965534301,29,3.6462653337495516,1.0,ok,True
DH_1_MFA,DH,MFA,leave_one_out,4,"1,2,3,5,6",DH_1_MFA__cand_19,3,True,21.155301279488356,27,5.684745792653934,1.0,ok,False
DH_1_MFA,DH,MFA,leave_one_out,5,"1,2,3,4,6",DH_1_MFA__cand_19,3,True,18.50119317998316,31,7.560169414595649,1.0,ok,False
DH_1_MFA,DH,MFA,leave_one_out,6,"1,2,3,4,5",DH_1_MFA__cand_19,3,True,14.056422516011423,39,9.699097422652889,0.8839787502584071,ok,False
DH_1_MFA_BA,DH,MFA_BA,leave_one_out,1,"2,3,4,5,6",DH_1_MFA_BA__cand_18,3,True,12.040276318276662,15,2.769740683350823,1.0,ok,True
DH_1_MFA_BA,DH,MFA_BA,leave_one_out,2,"1,3,4,5,6",DH_1_MFA_BA__cand_18,3,True,14.36793825309953,16,1.2158857370976806,1.0,ok,True
DH_1_MFA_BA,DH,MFA_BA,leave_one_out,3,"1,2,4,5,6",DH_1_MFA_BA__cand_18,3,True,14.518175463988953,17,2.134713780697972,1.0,ok,True
DH_1_MFA_BA,DH,MFA_BA,leave_one_out,4,"1,2,3,5,6",DH_1_MFA_BA__cand_18,3,True,14.17442464479181,15,3.854924068792755,1.0,ok,True
DH_1_MFA_BA,DH,MFA_BA,leave_one_out,5,"1,2,3,4,6",DH_1_MFA_BA__cand_18,3,True,11.82931021311959,15,5.934989092289954,1.0,ok,False
DH_1_MFA_BA,DH,MFA_BA,leave_one_out,6,"1,2,3,4,5",DH_1_MFA_BA__cand_18,3,True,8.989273334941576,16,7.578669499308587,1.0,ok,False
DH_2_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",DH_2_CONTROL__cand_14,3,True,84.77483236461107,15,3.3170591614342753,0.5714285714285714,ok,True
DH_2_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",DH_2_CONTROL__cand_14,3,True,107.75835275458408,14,1.582185007212568,0.7142857142857143,ok,True
DH_2_CONTROL,DH,CONTROL,leave_one_out,3,"1,2,4,5,6",DH_2_CONTROL__cand_14,3,True,93.56974299773985,13,1.1458023868239824,0.7142857142857143,ok,True
DH_2_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",DH_2_CONTROL__cand_14,3,True,102.77274721819485,13,2.12273028404025,0.7142857142857143,ok,True
DH_2_CONTROL,DH,CONTROL,leave_one_out,5,"1,2,3,4,6",DH_2_CONTROL__cand_14,3,True,100.91479504536254,17,3.4259108684565365,0.6734222996889903,ok,True
