fit_scope,file_id,candidate_id,simulation_health,trace_rmse_mV,trace_objective_loss,pass_stim_end_depolarization_mV,pass_rise_tau_s,pass_undershoot_magnitude_mV,pass_decay_tau_s,weighted_pass_fraction,weighted_feature_penalty,feature_loss,binary_penalty,peak_depolarization_mV,stim_end_depolarization_mV,rise_slope_mV_per_s,rise_tau_s,plateau_slope_mV_per_s,undershoot_magnitude_mV,decay_slope_mV_per_s,decay_tau_s,return_slope_mV_per_s,plateau_reached_sim,has_undershoot_sim,sweep,current_na,region,condition,pass_peak_depolarization_mV,pass_rise_slope_mV_per_s,pass_plateau_slope_mV_per_s,pass_decay_slope_mV_per_s,pass_return_slope_mV_per_s
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_004,ok,0.6548765099230973,174.92251784902274,False,False,True,False,0.25,0.75,0.75,0.0,7.378219045407732,-1.0230304511082975e-05,-3.336179642778315e-07,22115772.63646173,-1.2059827088112304e-07,1.2487625809853853e-05,-1.205982731587844e-07,61180138.42282204,-1.2059826954344893e-07,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_004,ok,0.8808496925594806,195.90584212731187,False,False,True,False,0.25,0.75,0.75,0.0,10.506999401784585,-1.204168320612098e-05,-4.239863604759599e-07,24781456.15342344,-1.2059303226004026e-07,1.4298906492626884e-05,-1.2059303453770254e-07,87127746.98856796,-1.2059303309156798e-07,True,True,2,75,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_004,ok,1.0841077648504267,244.45832057079903,False,False,True,False,0.25,0.75,0.75,0.0,13.73796144918292,-1.3914733386855003e-05,-5.173112914590338e-07,26556469.33674332,-1.2059108561881542e-07,1.6171701574307917e-05,-1.2059108334115298e-07,113921867.7579845,-1.205744408674286e-07,True,True,3,100,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_004,ok,0.9656287227198967,265.24041147413897,False,False,True,False,0.25,0.75,0.75,0.0,17.515446784557398,-1.6107241037843778e-05,-6.264723502272571e-07,27958850.503463645,-1.2058495567292857e-07,1.836484327100152e-05,-1.207538298361125e-07,145050859.32536814,-1.2057591818388106e-07,True,True,4,125,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_004,ok,1.5809250755019288,346.371045825196,False,False,True,False,0.25,0.75,0.75,0.0,19.08779400264838,-1.7021802264594044e-05,-6.719061665372273e-07,28408422.117957763,-1.2057975577208916e-07,1.9278619660667573e-05,-1.2052750622094864e-07,158368779.0541108,-1.205752859520923e-07,True,True,5,150,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_004,ok,2.74648566449228,600.4145456334188,False,False,True,False,0.25,0.75,0.75,0.0,20.085023821700204,-1.760171262787935e-05,-7.007321170649523e-07,28662913.16263228,-1.207642774686777e-07,1.985870241583143e-05,-1.20580552953558e-07,166569345.80019727,-1.205805581054111e-07,True,True,6,175,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_005,ok,0.6543282341225949,173.9870544326035,False,False,True,False,0.25,0.75,0.75,0.0,7.377681039963207,-8.458196276706076e-06,-2.826993586093355e-07,26097268.40646456,-1.0667357038199397e-07,1.0507280038041245e-05,-1.4648671099717484e-07,50364166.07172985,-1.0096228702996641e-07,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_005,ok,0.8812070794860539,196.4605220448812,False,False,True,False,0.25,0.75,0.75,0.0,10.50627911273645,-1.0178853386832998e-05,-3.600681149461876e-07,29178587.818881493,-1.004435000211972e-07,1.20589239287483e-05,-1.0044349850275653e-07,104598896.58710088,-1.0044350049119059e-07,True,True,2,75,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_005,ok,1.085863053118693,246.76465989392216,False,False,True,False,0.25,0.75,0.75,0.0,13.73707786180428,-1.1782601873733256e-05,-4.374644413057683e-07,31401587.339992896,-1.004418585865907e-07,1.366262462454415e-05,-1.0044186617879613e-07,136766453.91425693,-1.0044046098828577e-07,True,True,3,100,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_005,ok,0.9684358925803734,268.33906205183155,False,False,True,False,0.25,0.75,0.75,0.0,17.514401264478593,-1.3660630401091112e-05,-5.334815547046061e-07,32830378.3139728,-1.0045378593980904e-07,1.5540729279450716e-05,-1.0045379353201275e-07,174352810.86619276,-1.004405729733014e-07,True,True,4,125,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_005,ok,1.5855613622357236,349.9921206869329,False,False,True,False,0.25,0.75,0.75,0.0,19.08668948516552,-1.4443551222598217e-05,-5.724076312911404e-07,33344575.511883013,-1.004397752856855e-07,1.6323564224762777e-05,-1.0044042365994821e-07,190029957.95582816,-1.0044042700413187e-07,True,True,5,150,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_005,ok,2.7508383662494675,604.5952312157517,False,False,True,False,0.25,0.75,0.75,0.0,20.083884281936847,-1.4940372423666304e-05,-5.9710880020884e-07,33635217.35890087,-1.0043967582780706e-07,1.6820368401226915e-05,-1.0043996812767945e-07,199959086.57006127,-1.004393848836859e-07,True,True,6,175,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_006,ok,0.6534852648876702,175.33430745083544,False,False,True,False,0.25,0.75,0.75,0.0,7.372015663382356,-7.696555113057002e-05,-2.4519178062270148e-06,3006632.4591550385,-8.879795986704374e-07,9.358614802579268e-05,-8.879618602439248e-07,8302176.020665178,-8.879618613285239e-07,True,True,1,50,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_006,ok,0.8825923875782419,198.51005812905623,False,False,True,False,0.25,0.75,0.75,0.0,10.4987153517297,-9.024292799608702e-05,-3.11620049495346e-06,3369075.696102313,-8.87963019573541e-07,0.0001068635466197,-8.879630218512101e-07,11823369.997820582,-8.879630218512056e-07,True,True,2,75,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_006,ok,1.0887427590433945,248.71843125380943,False,False,True,False,0.25,0.75,0.75,0.0,13.727823770490817,-0.0001039690860693,-3.8026650173418897e-06,3610053.398836255,-8.879874042158519e-07,0.0001205898120701,-8.879874080119464e-07,15459480.220812015,-8.879549604665805e-07,True,True,3,100,DH,CONTROL,,,,,
all6,1_DH_1_CONTROL,1_DH_1_CONTROL__hybrid_optuna_006,ok,0.9721520254351952,270.2769519681981,False,False,True,False,0.25,0.75,0.75,0.0,17.503483791321685,-0.0001200342266258,-4.605874791682077e-06,3800251.761713516,-8.879673402971091e-07,0.0001366549947334,-8.879753743678776e-07,19711677.03133871,-8.879688746274e-07,True,True,4,125,DH,CONTROL,,,,,
