file_id,region,condition,parameter,coordinate_type,n_accepted_candidate_values,log10_value_span,within_range_fraction,step03_identifiability_status,cell_specific_identifiability_status,claim_scope
VH_5_MFA_BA,VH,MFA_BA,gl_a,raw,24,4.864058794513888,1.0,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA_BA,VH,MFA_BA,volume_ratio_wa_wo,effective,24,1.8162187632669735,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA_BA,VH,MFA_BA,zs,raw,24,3.6932787982116313,0.9583333333333334,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA_BA,VH,MFA_BA,zth,raw,24,1.131936221742336,0.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_6_MFA,VH,MFA,P_gap_eff,effective,14,1.1339727199175966,1.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_6_MFA,VH,MFA,eps,raw,14,0.6535008613969744,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_6_MFA,VH,MFA,gamma_s_eff,effective,14,5.806395796676682,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_6_MFA,VH,MFA,gamma_t_eff,effective,14,2.2754462560829625,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_6_MFA,VH,MFA,gki,raw,14,1.4890680435498396,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_6_MFA,VH,MFA,gl_a,raw,14,4.087128039534051,0.5714285714285714,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_6_MFA,VH,MFA,volume_ratio_wa_wo,effective,14,1.6369053300065173,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_6_MFA,VH,MFA,zs,raw,14,4.210615028055777,0.6428571428571429,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_6_MFA,VH,MFA,zth,raw,14,1.2863130144291821,0.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_6_MFA_BA,VH,MFA_BA,P_gap_eff,effective,2,0.0,1.0,weakly_identified,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
VH_6_MFA_BA,VH,MFA_BA,eps,raw,2,0.0,1.0,identifiable,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
VH_6_MFA_BA,VH,MFA_BA,gamma_s_eff,effective,2,0.0,1.0,weakly_identified,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
VH_6_MFA_BA,VH,MFA_BA,gamma_t_eff,effective,2,0.0,1.0,weakly_identified,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
VH_6_MFA_BA,VH,MFA_BA,gki,raw,2,0.0,1.0,identifiable,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
VH_6_MFA_BA,VH,MFA_BA,gl_a,raw,2,0.0,1.0,identifiable,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
VH_6_MFA_BA,VH,MFA_BA,volume_ratio_wa_wo,effective,2,0.0,1.0,weakly_identified,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
