file_id,region,condition,candidate_id,mechanism_cluster,dominant_mechanism,parameter,value,lower_bound,upper_bound,plausibility_status,identifiability_status,physiologically_interpretable,interpretation_guardrail
DH_6_MFA,DH,MFA,DH_6_MFA__cand_81,unlabeled,unknown,P_gap_eff,2.759775231871044e-07,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
DH_6_MFA,DH,MFA,DH_6_MFA__cand_81,unlabeled,unknown,gamma_t_eff,2.8521999547271e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
DH_6_MFA,DH,MFA,DH_6_MFA__cand_81,unlabeled,unknown,gamma_s_eff,7.982851553991404e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
DH_6_MFA,DH,MFA,DH_6_MFA__cand_81,unlabeled,unknown,volume_ratio_wa_wo,0.0985388116715744,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
DH_6_MFA_BA,DH,MFA_BA,DH_6_MFA_BA__cand_94,unlabeled,unknown,P_gap_eff,1.0944885422058869e-07,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
DH_6_MFA_BA,DH,MFA_BA,DH_6_MFA_BA__cand_94,unlabeled,unknown,gamma_t_eff,4.00968167209241e-06,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
DH_6_MFA_BA,DH,MFA_BA,DH_6_MFA_BA__cand_94,unlabeled,unknown,gamma_s_eff,6.159325288067087e-06,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
DH_6_MFA_BA,DH,MFA_BA,DH_6_MFA_BA__cand_94,unlabeled,unknown,volume_ratio_wa_wo,1.306350009564648,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_1_MFA,VH,MFA,VH_1_MFA__cand_80,unlabeled,unknown,P_gap_eff,2.759775231871044e-07,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_1_MFA,VH,MFA,VH_1_MFA__cand_80,unlabeled,unknown,gamma_t_eff,2.8521999547271e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_1_MFA,VH,MFA,VH_1_MFA__cand_80,unlabeled,unknown,gamma_s_eff,7.982851553991404e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_1_MFA,VH,MFA,VH_1_MFA__cand_80,unlabeled,unknown,volume_ratio_wa_wo,0.0985388116715744,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_1_MFA_BA,VH,MFA_BA,VH_1_MFA_BA__cand_84,unlabeled,unknown,P_gap_eff,2.8474649993162884e-07,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_1_MFA_BA,VH,MFA_BA,VH_1_MFA_BA__cand_84,unlabeled,unknown,gamma_t_eff,4.8867593032889744e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_1_MFA_BA,VH,MFA_BA,VH_1_MFA_BA__cand_84,unlabeled,unknown,gamma_s_eff,0.0001880789957018,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_1_MFA_BA,VH,MFA_BA,VH_1_MFA_BA__cand_84,unlabeled,unknown,volume_ratio_wa_wo,0.2307371717629052,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_2_MFA,VH,MFA,VH_2_MFA__cand_79,unlabeled,unknown,P_gap_eff,2.759775231871044e-07,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_2_MFA,VH,MFA,VH_2_MFA__cand_79,unlabeled,unknown,gamma_t_eff,2.8521999547271e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_2_MFA,VH,MFA,VH_2_MFA__cand_79,unlabeled,unknown,gamma_s_eff,7.982851553991404e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_2_MFA,VH,MFA,VH_2_MFA__cand_79,unlabeled,unknown,volume_ratio_wa_wo,0.0985388116715744,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_2_MFA_BA,VH,MFA_BA,VH_2_MFA_BA__cand_117,unlabeled,unknown,P_gap_eff,1.494044023881934e-06,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_2_MFA_BA,VH,MFA_BA,VH_2_MFA_BA__cand_117,unlabeled,unknown,gamma_t_eff,3.0445990088982677e-05,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_2_MFA_BA,VH,MFA_BA,VH_2_MFA_BA__cand_117,unlabeled,unknown,gamma_s_eff,0.0002665937817979,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_2_MFA_BA,VH,MFA_BA,VH_2_MFA_BA__cand_117,unlabeled,unknown,volume_ratio_wa_wo,0.0535920958745476,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_3_MFA,VH,MFA,VH_3_MFA__cand_26,unlabeled,unknown,P_gap_eff,2.759775231871044e-07,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_3_MFA,VH,MFA,VH_3_MFA__cand_26,unlabeled,unknown,gamma_t_eff,2.8521999547271e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_3_MFA,VH,MFA,VH_3_MFA__cand_26,unlabeled,unknown,gamma_s_eff,7.982851553991404e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_3_MFA,VH,MFA,VH_3_MFA__cand_26,unlabeled,unknown,volume_ratio_wa_wo,0.0985388116715744,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_3_MFA_BA,VH,MFA_BA,VH_3_MFA_BA__cand_22,unlabeled,unknown,P_gap_eff,0.0001530483916352,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_3_MFA_BA,VH,MFA_BA,VH_3_MFA_BA__cand_22,unlabeled,unknown,gamma_t_eff,0.0001204604914239,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_3_MFA_BA,VH,MFA_BA,VH_3_MFA_BA__cand_22,unlabeled,unknown,gamma_s_eff,0.0002139339192649,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_3_MFA_BA,VH,MFA_BA,VH_3_MFA_BA__cand_22,unlabeled,unknown,volume_ratio_wa_wo,2.697699492232148,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_4_MFA,VH,MFA,VH_4_MFA__cand_80,unlabeled,unknown,P_gap_eff,2.759775231871044e-07,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_4_MFA,VH,MFA,VH_4_MFA__cand_80,unlabeled,unknown,gamma_t_eff,2.8521999547271e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_4_MFA,VH,MFA,VH_4_MFA__cand_80,unlabeled,unknown,gamma_s_eff,7.982851553991404e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_4_MFA,VH,MFA,VH_4_MFA__cand_80,unlabeled,unknown,volume_ratio_wa_wo,0.0985388116715744,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_4_MFA_BA,VH,MFA_BA,VH_4_MFA_BA__cand_75,unlabeled,unknown,P_gap_eff,1.494044023881934e-06,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_4_MFA_BA,VH,MFA_BA,VH_4_MFA_BA__cand_75,unlabeled,unknown,gamma_t_eff,3.0445990088982677e-05,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_4_MFA_BA,VH,MFA_BA,VH_4_MFA_BA__cand_75,unlabeled,unknown,gamma_s_eff,0.0002665937817979,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_4_MFA_BA,VH,MFA_BA,VH_4_MFA_BA__cand_75,unlabeled,unknown,volume_ratio_wa_wo,0.0535920958745476,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_5_MFA,VH,MFA,VH_5_MFA__cand_80,unlabeled,unknown,P_gap_eff,2.759775231871044e-07,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_5_MFA,VH,MFA,VH_5_MFA__cand_80,unlabeled,unknown,gamma_t_eff,2.8521999547271e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_5_MFA,VH,MFA,VH_5_MFA__cand_80,unlabeled,unknown,gamma_s_eff,7.982851553991404e-08,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_5_MFA,VH,MFA,VH_5_MFA__cand_80,unlabeled,unknown,volume_ratio_wa_wo,0.0985388116715744,0.001,1000.0,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_5_MFA_BA,VH,MFA_BA,VH_5_MFA_BA__cand_69,unlabeled,unknown,P_gap_eff,3.147806683575305e-07,1e-08,0.005,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_5_MFA_BA,VH,MFA_BA,VH_5_MFA_BA__cand_69,unlabeled,unknown,gamma_t_eff,8.64071700925487e-06,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
VH_5_MFA_BA,VH,MFA_BA,VH_5_MFA_BA__cand_69,unlabeled,unknown,gamma_s_eff,3.535624158641975e-07,1e-08,0.05,within_range,weakly_identified,False,within broad range but Step 03 indicates weak/sloppy/broad identifiability
