source_scope,db_name,condition,current_na,trial_number,candidate_id,P_gap_eff,gamma_s_eff,gki,zth,zs,sigmoid_state_at_stim_end_10_90,sigmoid_state_at_sim_end_10_90,temporal_recruitment_class,gap_fraction,kir_fraction,leak_fraction,Ko_peak_mM,Ko_final_mM,Ko_recovery_error_mM,Ko_rise_rate_mM_per_s,Ko_decay_rate_abs_mM_per_s,Ko_efficiency_score,Ko_efficiency_quadrant
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2498,CONTROL_50nA.db::trial_2498,2.2976021403291653e-08,1.450201608465008e-05,179.5983476199695,47.98235305079644,8.43565577296962,closed_low,closed_low,fully_closed_at_sim_end,0.009099747085187748,0.5009337513607892,0.48996650155402316,7.700266789278704,5.4308613154190715,-0.03569862796971268,1.6241739773378645,1.6258226649072134,0.9989859364093421,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2405,CONTROL_50nA.db::trial_2405,4.827556516079342e-07,8.716385355368156e-05,171.51058456474811,36.5132700536209,9.200389870482011,closed_low,closed_low,fully_closed_at_sim_end,0.13094478422332362,0.500945576930592,0.36810963884608433,7.50706234247631,5.355841500649463,0.07110917345985435,1.3663157809928759,1.741454564068517,0.7845830773791688,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2457,CONTROL_50nA.db::trial_2457,1.4750422108601663e-09,1.599504231705102e-05,173.21108392721936,45.60189973266536,8.834862212228611,closed_low,closed_low,fully_closed_at_sim_end,0.00038369868632250753,0.5013992963519326,0.49821700496174476,7.6137469378706975,5.356472359522785,0.04744583226116372,1.6833045514267664,1.9715234086873088,0.8538090615660273,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2051,CONTROL_50nA.db::trial_2051,5.34318544223278e-06,9.308595368116096e-05,151.73023758585703,23.74098714313487,9.996977649261249,closed_low,closed_low,fully_closed_at_sim_end,0.4988299806917681,0.3785328480600548,0.12263717124817722,7.274861388707286,5.12747532738077,0.3638370820274428,0.5636166528051596,1.5214165331260683,0.37045519128617027,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2404,CONTROL_50nA.db::trial_2404,4.209733661421933e-07,8.661763991185151e-05,169.48818292092577,41.13821921262949,9.252075557528372,closed_low,closed_low,fully_closed_at_sim_end,0.14965401964302627,0.5002856523000766,0.3500603280568972,7.540427349896002,5.400009783383512,0.018675644576745754,1.3688214347936918,1.5233232377387826,0.8985758248036491,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2444,CONTROL_50nA.db::trial_2444,6.572605926496849e-07,1.8915956033120533e-05,169.40375521257403,44.32005647838488,8.925970303640058,closed_low,closed_low,fully_closed_at_sim_end,0.17900844283673,0.5003355449071937,0.3206560122560763,7.582243307235796,5.359265321470183,0.044235747729794994,1.4988373368817458,1.7987766202607438,0.8332537347880806,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2244,CONTROL_50nA.db::trial_2244,3.3147429854378383e-06,8.912816196449947e-05,145.12023530859284,23.38478104002672,9.541149711667488,closed_low,closed_low,fully_closed_at_sim_end,0.4988176032906877,0.3886647555791087,0.11251764113020356,7.3252902919810055,5.237371046744832,0.19053721420818803,0.6993220467122391,1.3310859100869536,0.5253770935540559,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2424,CONTROL_50nA.db::trial_2424,5.839792325962643e-07,8.523349948955316e-06,176.4011550501056,40.66604712339772,9.170179818783048,closed_low,closed_low,fully_closed_at_sim_end,0.12951840755985242,0.5012076073977626,0.369273985042385,7.40576612659806,5.321098109839863,0.13554602070317934,1.2360891930254625,1.8314760982072165,0.6749141821918602,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2069,CONTROL_50nA.db::trial_2069,2.6174862540900094e-06,9.257417003484224e-05,151.72124372135085,26.56042996681153,9.843729230103673,closed_low,closed_low,fully_closed_at_sim_end,0.4984964572312296,0.24681107687879827,0.25469246588997213,7.383609793264541,5.267445796004601,0.08664395403671854,0.9565345608578228,1.2253408514361537,0.780627332987978,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2452,CONTROL_50nA.db::trial_2452,5.001816637220551e-07,1.0424870548633686e-05,180.449931654224,48.11737618321261,8.792610873713233,closed_low,closed_low,fully_closed_at_sim_end,0.12328901304776348,0.5009500112167967,0.3757609757354399,7.5917810197224185,5.34431321823111,0.054578883822638424,1.5827564219292936,1.915591089458407,0.8262496263629961,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2441,CONTROL_50nA.db::trial_2441,8.70346208019697e-10,1.5723966145163654e-05,176.15046109472004,49.57260139598725,8.949214904735797,closed_low,closed_low,fully_closed_at_sim_end,0.0002503620154368937,0.5014302353497704,0.4983194026347927,7.594891156445131,5.381963535945394,0.024576080071165407,1.6356845449193347,1.8676477007687666,0.8757992978258423,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2486,CONTROL_50nA.db::trial_2486,6.401739279461593e-07,8.392508279971353e-06,188.0598534143348,50.24009272530408,8.702646081834072,closed_low,closed_low,fully_closed_at_sim_end,0.16920893355862257,0.5004383829521212,0.3303526834892561,7.611932114103315,5.317655652573085,0.042861131144547926,1.7326209227984528,1.999855097327332,0.8663732312975979,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2099,CONTROL_50nA.db::trial_2099,4.444193054409147e-06,9.750000030185408e-05,147.36982982274964,22.45332058656876,9.791428162514553,closed_low,closed_low,fully_closed_at_sim_end,0.49862241940600766,0.3555037296757174,0.14587385091827504,7.221328937804348,5.16463007975191,0.32624214975059207,0.5405054372871625,1.2367204518362303,0.4370473832503076,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,1923,CONTROL_50nA.db::trial_1923,1.484511979766985e-05,9.637833916522884e-05,154.41019377323562,23.129272935163577,9.999419131692962,open_high,open_high,early_sustained_open_recruitment,0.49947228444383934,0.5000962328845783,0.00043148267158243936,5.419092997119094,3.499622404806331,-0.4280174178096008,2.8215319063877877,0.062061383039566,45.463567974129354,fast_rise_slow_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2478,CONTROL_50nA.db::trial_2478,2.5524754110065563e-09,1.3722599188614051e-05,179.09909938874063,45.56698136334197,8.957498088693056,closed_low,closed_low,fully_closed_at_sim_end,0.0007587459911004128,0.5016428677939666,0.497598386214933,7.492055863969977,5.37738256916259,0.055810006726675354,1.3294790073186868,1.6103691101560382,0.8255740866700217,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2390,CONTROL_50nA.db::trial_2390,1.1114142177181068e-06,9.101856281689326e-05,153.6344468214177,35.62524246708097,9.529130195608628,closed_low,closed_low,fully_closed_at_sim_end,0.4530040096897843,0.4934014642442329,0.053594526065982716,7.586293231676575,5.389953456210257,-0.012944009357937603,1.270646631889454,1.3988716188373393,0.9083368443385402,fast_rise_fast_decay
