110.0,0.0582116,0.0138671,0.00529191,0.0326823,0.0155535,0.0513055
111.0,0.00480584,-0.00902108,-0.0175963,0.0326823,0.000294695,0.0207879
112.0,0.0429528,-0.0166505,-0.0252257,0.0479411,-0.0149641,0.0284173
113.0,0.0200646,-0.0395387,-0.0175963,0.0403117,0.000294695,0.00552914
114.0,0.027694,-0.0166505,-0.0252257,0.0403117,0.00792409,0.0207879
115.0,0.0505822,-0.0242799,-0.00233749,0.0403117,0.0384417,-0.017359
116.0,0.027694,-0.00139169,0.00529191,0.0555705,-0.0302229,0.00552914
117.0,0.0200646,-0.0319093,0.0281801,0.0555705,-0.0073347,0.0131585
118.0,-0.010453,0.0214965,-0.00233749,0.0708293,0.00792409,0.0436761
119.0,0.0200646,-0.00139169,-0.0252257,0.0250529,0.0231829,0.0284173
120.0,-0.00282355,-0.0395387,-0.0328551,-0.00546465,0.00792409,0.00552914
121.0,0.027694,-0.00139169,-0.00996688,0.00979413,-0.0073347,0.0131585
122.0,0.0734704,-0.00139169,0.0205507,0.0174235,-0.0073347,0.0131585
123.0,0.027694,-0.0242799,0.0281801,0.0250529,-0.0073347,0.0284173
124.0,0.0200646,-0.0166505,-0.0328551,-0.00546465,-0.0149641,0.0131585
125.0,0.027694,-0.0395387,0.0129213,0.0250529,0.000294695,0.0284173
126.0,-0.0180823,-0.0242799,-0.00996688,-0.0283528,0.00792409,-0.00972965
127.0,0.0200646,-0.0166505,-0.0175963,-0.0359822,0.0384417,0.0207879
128.0,0.0505822,-0.0166505,0.0205507,-0.0207234,0.0308123,0.00552914
129.0,0.0505822,-0.0242799,0.0205507,0.0174235,-0.0149641,0.00552914
130.0,0.0582116,-0.0319093,0.0434389,0.0479411,0.0155535,0.0284173
131.0,0.0200646,-0.0471681,-0.00233749,0.0555705,0.00792409,0.0360467
132.0,0.0124352,-0.0242799,-0.0252257,0.0326823,-0.0149641,0.0207879
133.0,0.0124352,-0.00139169,-0.00996688,0.0479411,-0.0149641,0.0360467
