Time (ms),50 (nA),75 (nA),100 (nA),125 (nA) ,149 (nA),174 (nA)
21300,7.076225042,10.56341648,13.80825186,16.55807972,19.67709732,22.39450359
21400,7.080726385,10.57280016,13.80863142,16.5564003,19.66355228,22.38953876
21500,7.072448254,10.58580971,13.79997301,16.54396629,19.64752388,22.3995409
21600,7.075919867,10.56948185,13.79558802,16.54339409,19.63527584,22.40209484
21700,7.073173285,10.56376076,13.79432774,16.54003716,19.64916706,22.41075611
21800,7.058104992,10.55837631,13.80127239,16.53893089,19.65271568,22.41159725
21900,7.059096575,10.5625,13.78128481,16.53939056,19.67438602,22.40827751
22000,7.04563117,10.5649457,13.79272699,16.5369463,19.66935158,22.40766239
22100,7.033539057,10.55368519,13.77704859,16.54698086,19.65710068,22.40617847
22200,7.028312922,10.55143881,13.77468586,16.54232597,19.65000629,22.40025997
22300,7.015762568,10.55395555,13.77518272,16.53789902,19.64974499,22.39835548
22400,7.01019311,10.55074692,13.77041531,16.53126335,19.65748978,22.40300941
22500,7.004127026,10.54399443,13.76419926,16.52813816,19.65863323,22.40488338
22600,6.99962616,10.53479624,13.74654484,16.51791573,19.66229248,22.39439011
22700,7.004967451,10.5192709,13.73609257,16.51581573,19.65344048,22.39908028
22800,7.013970137,10.50553656,13.74997473,16.51520634,19.65943146,22.38858604
22900,7.02690196,10.5082078,13.74329901,16.50307178,19.6571455,22.37656784
23000,7.014923811,10.50782299,13.73566818,16.50040245,19.6526432,22.37747955
23100,7.019234657,10.50919771,13.7390604,16.48929596,19.65180016,22.38087559
23200,7.012024879,10.4954648,13.72285748,16.49047947,19.65001202,22.38629436
23300,7.003175259,10.48833466,13.71766281,16.48444939,19.64505005,22.38866329
23400,6.998979092,10.4893651,13.72105932,16.4870863,19.65207005,22.38613892
23500,6.989442348,10.47960234,13.71812296,16.48162556,19.64527225,22.39602757
23600,6.978532553,10.47929621,13.71686411,16.48811722,19.63950729,22.4003334
23700,6.975709677,10.47700644,13.71217299,16.47525883,19.64512253,22.39278412
23800,6.971093655,10.47598124,13.70305395,16.46358395,19.64867306,22.38751793
23900,6.963083029,10.4744935,13.68550205,16.47045422,19.66286373,22.38370419
24000,6.979028702,10.46808529,13.68546057,16.46545029,19.65248585,22.3928194
24100,6.972276211,10.45912409,13.68229723,16.45458126,19.65077209,22.37607002
24200,6.967622519,10.44749022,13.66440487,16.4585104,19.65923691,22.36848068
24300,6.96838522,10.44642735,13.67851925,16.4591589,19.66458607,22.37717628
24400,6.948624849,10.44760561,13.67893887,16.46312332,19.66248894,22.38171768
24500,6.940002918,10.44482136,13.68252468,16.45827961,19.66069031,22.37049675
24600,6.941719532,10.43383026,13.68023634,16.46724319,19.65488911,22.36835766
24700,6.93794322,10.42272997,13.68256474,16.48139763,19.64890003,22.36206436
24800,6.934204578,10.4242897,13.68336105,16.47083378,19.65882683,22.36184216
24900,6.946335793,10.40967846,13.687253,16.46289635,19.6510334,22.36207104
25000,6.941719532,10.40975809,13.67802382,16.45877743,19.65615273,22.36149693
25100,6.942787886,10.42135954,13.68320608,16.45893002,19.64924431,22.35600662
25200,6.947021961,10.42174006,13.68217754,16.45160294,19.6552372,22.35661602
25300,6.93828702,10.41268921,13.68072748,16.44134235,19.65706921,22.36447048
25400,6.945611238,10.41032505,13.6811862,16.43963337,19.65519619,22.36774921
25500,6.955377102,10.41609192,13.68195057,16.42673683,19.65351486,22.3719101
25600,6.939355135,10.42452765,13.68302011,16.41525936,19.64343929,22.36809349
25700,6.938173056,10.41642904,13.68554115,16.4112587,19.6438961,22.36752224
25800,6.937943697,10.41318941,13.68153381,16.40682983,19.64653015,22.37225533
25900,6.935388327,10.40949059,13.68130207,16.40355301,19.64782619,22.36832619
26000,6.939279079,10.41162729,13.67756271,16.41240025,19.64481258,22.37652683
26100,6.920853615,10.40895987,13.68359518,16.41003323,19.65271187,22.36477757
26200,6.919136763,10.40446186,13.6861496,16.40553379,19.64568806,22.36351681
26300,6.906700373,10.38961506,13.67940092,16.40294075,19.64137745,22.37103271
