file_id,region,condition,candidate_id,mechanism_cluster,current_na,sweep,proxy_signal,target_signal,pearson_r,spearman_r,scaled_rmse,best_lag_samples,proxy_validity_status,explicit_ecs_variant_required,simulation_status,failure_reason
DH_5_MFA,DH,MFA,DH_5_MFA__cand_73,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
DH_5_MFA_BA,DH,MFA_BA,DH_5_MFA_BA__cand_44,unlabeled,100,3,delta_K_a_t,K_o,0.9526275591026325,0.8223264540337712,0.3041393326062262,-3,proxy_supported,False,ok,
DH_6_MFA,DH,MFA,DH_6_MFA__cand_81,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
DH_6_MFA_BA,DH,MFA_BA,DH_6_MFA_BA__cand_94,unlabeled,100,3,delta_K_a_t,K_o,0.9526275591026325,0.8223264540337712,0.3041393326062262,-3,proxy_supported,False,ok,
VH_1_MFA,VH,MFA,VH_1_MFA__cand_80,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
VH_1_MFA_BA,VH,MFA_BA,VH_1_MFA_BA__cand_84,unlabeled,100,3,delta_K_a_t,K_o,0.9141791926508429,0.797373358348968,0.4053102561301073,-5,proxy_supported,False,ok,
VH_2_MFA,VH,MFA,VH_2_MFA__cand_79,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
VH_2_MFA_BA,VH,MFA_BA,VH_2_MFA_BA__cand_117,unlabeled,100,3,delta_K_a_t,K_o,-0.8507104879108845,-0.7172607879924954,0.5256345363067619,8,proxy_supported,False,ok,
VH_3_MFA,VH,MFA,VH_3_MFA__cand_26,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
VH_3_MFA_BA,VH,MFA_BA,VH_3_MFA_BA__cand_22,unlabeled,100,3,delta_K_a_t,K_o,0.27995564863172934,0.06020436143876531,0.9600129347041049,-7,proxy_limited,True,ok,
VH_4_MFA,VH,MFA,VH_4_MFA__cand_80,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
VH_4_MFA_BA,VH,MFA_BA,VH_4_MFA_BA__cand_75,unlabeled,100,3,delta_K_a_t,K_o,-0.8507104879108845,-0.7172607879924954,0.5256345363067619,8,proxy_supported,False,ok,
VH_5_MFA,VH,MFA,VH_5_MFA__cand_80,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
VH_5_MFA_BA,VH,MFA_BA,VH_5_MFA_BA__cand_69,unlabeled,100,3,delta_K_a_t,K_o,-0.9728471348089155,-0.7245778611632271,0.2314485953599281,1,proxy_supported,False,ok,
VH_6_MFA,VH,MFA,VH_6_MFA__cand_81,unlabeled,100,3,delta_K_a_t,K_o,-0.42190028737130625,-0.5341463414634148,0.9066422378843867,8,proxy_limited,True,ok,
VH_6_MFA_BA,VH,MFA_BA,VH_6_MFA_BA__cand_104,unlabeled,100,3,delta_K_a_t,K_o,0.9141791926508429,0.797373358348968,0.4053102561301073,-5,proxy_supported,False,ok,
VH_7_OG_MFA,VH,MFA,VH_7_OG_MFA__cand_32,unlabeled,100,3,delta_K_a_t,K_o,-0.8675523423249774,-0.7637898686679175,0.4973458890213576,3,proxy_supported,False,ok,
VH_7_OG_MFA_BA,VH,MFA_BA,VH_7_OG_MFA_BA__cand_87,unlabeled,100,3,delta_K_a_t,K_o,0.9700885355174103,0.951031894934334,0.24275138157729664,-1,proxy_supported,False,ok,
