strategy,file_id,candidate_id,sweep,current_na,stim_onset_s,stim_offset_s,obs_baseline_mV,pred_baseline_mV,baseline_delta_pred_minus_obs_mV,raw_rmse_mV,centered_rmse_mV,baseline_aligned_rmse_mV,raw_minus_centered_rmse_mV,obs_stim_end_centered_mV,pred_stim_end_centered_mV,stim_end_delta_pred_minus_obs_mV,obs_peak_centered_mV,pred_peak_centered_mV,peak_delta_pred_minus_obs_mV
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,5,150,21.117,41.075,-55.62118695652175,-85.84691718042664,-30.225730223904897,31.56283008117006,3.5468859674174498,3.5468859674174498,28.01594411375261,20.156056521739337,13.620751695841534,-6.5353048258978035,20.260834782608647,13.620751695841534,-6.640083086767113
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,6,175,21.117,41.075,-56.08970869565219,-85.84691718042664,-29.757208484774452,32.34571158628496,5.093778912626462,5.093778912626462,27.2519326736585,23.255278260869744,13.620751695841534,-9.63452656502821,23.75153478260875,13.620751695841534,-10.130783086767217
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,1,50,21.144,41.166,-62.4084,-85.51951591408765,-23.111115914087648,22.00351085846995,2.9105064713689455,2.9105064713689455,19.093004387101004,8.296765217391005,13.610554524470757,5.313789307079752,8.544899999999998,13.736192805325118,5.191292805325119
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,2,75,21.144,41.166,-63.0798,-85.51951591408765,-22.43971591408765,22.102768584208892,1.6505054112654678,1.6505054112654671,20.452263172943425,12.525460869565066,13.610554524470757,1.085093654905691,12.623591304347563,13.736192805325118,1.1126015009775543
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,3,100,21.144,41.166,-63.67028695652189,-85.51951591408765,-21.849228957565757,23.398342409788615,2.271057140233492,2.271057140233492,21.127285269555124,16.646665217391757,13.610554524470757,-3.0361106929209996,16.646665217391757,13.736192805325118,-2.910472412066639
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,4,125,21.144,41.166,-64.20236956521745,-85.51951591408765,-21.317146348870196,22.731897826952903,3.4712470751053823,3.4712470751053823,19.26065075184752,19.174369565215194,13.610554524470757,-5.563815040744437,19.293730434782617,13.736192805325118,-5.557537629457499
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,5,150,21.144,41.166,-64.84316956521745,-85.51951591408765,-20.676346348870197,23.44262187150458,4.887030245891752,4.887030245891752,18.55559162561283,22.82046956521745,13.610554524470757,-9.209915040746694,22.82046956521745,13.736192805325118,-9.084276759892333
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,6,175,21.144,41.166,-65.60616956521744,-85.51951591408765,-19.913346348870206,23.527503282208283,6.329880656076301,6.329880656076301,17.19762262613198,25.719669565217444,13.610554524470757,-12.109115040746687,25.719669565217444,13.736192805325118,-11.983476759892326
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,1,50,21.096,41.082,-65.41136956521736,-85.75427984486494,-20.342910279647583,19.90854679161878,3.2387813426917855,3.2387813426917855,16.669765448926995,10.710973913043034,13.74266237945342,3.0316884664103867,10.710973913043034,13.74266237945342,3.0316884664103867
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,2,75,21.096,41.082,-65.19614782608697,-85.75427984486494,-20.558132018777968,21.446138161859423,2.733610599434627,2.733610599434627,18.712527562424796,16.119073913043707,13.74266237945342,-2.376411533590286,16.119073913043707,13.74266237945342,-2.376411533590286
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,3,100,21.096,41.082,-64.7158652173913,-85.75427984486494,-21.038414627473642,23.31126049614012,4.00705349721093,4.00705349721093,19.304206998929192,20.93165217391293,13.74266237945342,-7.188989794459509,20.93165217391293,13.74266237945342,-7.188989794459509
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,4,125,21.096,41.082,-64.92522173913045,-85.75427984486494,-20.82905810573449,24.65573046331722,5.8524237796617795,5.8524237796617795,18.80330668365544,25.299630434782493,13.74266237945342,-11.556968055329072,25.299630434782493,13.74266237945342,-11.556968055329072
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,5,150,21.096,41.082,-65.38726521739129,-85.75427984486494,-20.36701462747365,25.577758984735198,7.625420706595025,7.625420706595025,17.95233827814017,29.269682608695327,13.74266237945342,-15.527020229241906,29.269682608695327,13.74266237945342,-15.527020229241906
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,6,175,21.096,41.082,-66.49741304347825,-85.75427984486494,-19.256866801386693,26.43186929731882,9.686773587998264,9.686773587998264,16.745095709320555,33.56281304347824,13.74266237945342,-19.820150664024823,33.56281304347824,13.74266237945342,-19.820150664024823
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,1,50,21.106,41.102,-62.16952173913045,-85.79257304028486,-23.623051301154412,23.03778769423668,3.0245646085457447,3.0245646085457443,20.013223085690935,9.47586521739131,13.69451309668706,4.218647879295752,9.47586521739131,13.69451309668706,4.218647879295752
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,2,75,21.106,41.102,-61.67326521739129,-85.79257304028486,-24.119307822893575,24.73524284660784,1.7896142042797583,1.7896142042797583,22.94562864232808,14.267630434782475,13.69451309668706,-0.5731173380954147,14.267630434782475,13.69451309668706,-0.5731173380954147
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,3,100,21.106,41.102,-61.480852173913036,-85.79257304028486,-24.31172086637183,25.988483262091425,2.530963760936553,2.530963760936553,23.45751950115487,18.41735217391308,13.69451309668706,-4.72283907722602,18.41735217391308,13.69451309668706,-4.72283907722602
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,4,125,21.106,41.102,-61.364086956521746,-85.79257304028486,-24.42848608376312,27.271887164969684,4.106988089263243,4.106988089263243,23.16489907570644,22.52914347826097,13.69451309668706,-8.83463038157391,22.52914347826097,13.69451309668706,-8.83463038157391
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,5,150,21.106,41.102,-61.6619434782609,-85.79257304028486,-24.130629562023962,28.61428535896626,6.11446487115641,6.11446487115641,22.49982048780985,26.722608695652127,13.69451309668706,-13.028095598965066,26.722608695652127,13.69451309668706,-13.028095598965066
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,6,175,21.106,41.102,-61.57556521739129,-85.79257304028486,-24.21700782289357,29.9189156892475,7.726488871481416,7.726488871481416,22.192426817766084,30.231643478260963,13.69451309668706,-16.537130381573903,30.231643478260963,13.69451309668706,-16.537130381573903
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,1,50,21.105,41.078,-56.929060869565234,-87.59800966108885,-30.66894879152362,29.542041313606838,2.2185686581023916,2.2185686581023916,27.323472655504446,5.391656521738952,9.374803233213285,3.9831467114743333,5.391656521738952,9.374803233213285,3.9831467114743333
