strategy,file_id,candidate_id,sweep,z0_mode,health,obs_baseline_mV,pred_baseline_mV,baseline_delta_mV,raw_rmse_mV,centered_rmse_mV,stim_end_delta_mV
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,3,observed_vm_z0,ok,-63.67028695652189,-85.50890974903682,-21.838622792514926,22.8123461398545,4.945138805664084,-3.0433294219737945
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,4,default_z0,ok,-64.20236956521745,-85.51951591408765,-21.317146348870196,22.731897826952903,3.4712470751053823,-5.563815040744437
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,4,observed_vm_z0,ok,-64.20236956521745,-85.50913232457789,-21.30676275936044,22.134434951512667,5.4345236585316234,-5.5708824086865505
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,5,default_z0,ok,-64.84316956521745,-85.51951591408765,-20.676346348870197,23.44262187150458,4.887030245891752,-9.209915040746694
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,5,observed_vm_z0,ok,-64.84316956521745,-85.50940041212365,-20.666230846906203,22.917051690151226,6.433627233184794,-9.21680050991776
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,6,default_z0,ok,-65.60616956521744,-85.51951591408765,-19.913346348870206,23.527503282208283,6.329880656076301,-12.109115040746687
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,6,observed_vm_z0,ok,-65.60616956521744,-85.50971966782413,-19.903550102606687,23.025123453953544,7.466435132012909,-12.115783638047603
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,1,default_z0,ok,-62.4084,-85.74634087989568,-23.337940879895683,22.0268787026449,2.831517833593154,5.445506936966133
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,1,observed_vm_z0,ok,-62.4084,-85.74612043116583,-23.337720431165835,21.339476090719554,5.471031193807925,5.445507080947458
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,2,default_z0,ok,-63.0798,-85.74634087989568,-22.666540879895685,22.119425549678,1.2824333916891584,1.2168112847920725
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,2,observed_vm_z0,ok,-63.0798,-85.7461259895549,-22.6663259895549,21.478636006310868,4.761951658195398,1.2168114218713981
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,3,default_z0,ok,-63.67028695652189,-85.74634087989568,-22.07605392337379,23.413358408236924,1.8012323580013683,-2.904393063034618
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,3,observed_vm_z0,ok,-63.67028695652189,-85.74613087702748,-22.07584392050559,22.83322007441933,4.798161994349184,-2.904392927460279
