file_id,region,condition,candidate_id,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,gki,eps,gl_a,zth,zs,P_gap_eff_plausible,gamma_t_eff_plausible,gamma_s_eff_plausible,volume_ratio_wa_wo_plausible,gki_plausible,eps_plausible,gl_a_plausible,zth_plausible,zs_plausible
DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL__hybrid_optuna_049,4.515284374263166e-07,2.258282326866396e-06,1.1219093081864454e-05,0.47120120167239,5.37794093372654,3.853881857200996e-05,0.0010428608449846,8.763364806971229,1.272437607967015,True,True,True,True,True,True,True,False,True
DH_2_CONTROL,DH,CONTROL,DH_2_CONTROL__hybrid_optuna_044,5.40962804894205e-07,5.414761089981999e-06,0.0005826907540579,0.0754642657045525,9.528920233929334,2.0688407847703752e-05,1.994100221451452,100.4671234696994,0.3507967303215799,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_100,8.242213770882057e-08,3.444293373038032e-07,3.30036818169917e-08,0.0908766727298346,392.016105061084,0.0010158848098512,0.1837708731811219,117.8165086995524,0.0023701177970858,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_057,5.9078902720612464e-08,3.5398302483569986e-05,6.697544368255835e-06,0.1864084103281081,112.9127244679854,5.682841394758624e-05,0.038382865037063,123.97241317365554,0.1800745142080181,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_053,4.466047172919705e-07,1.6853856545294232e-08,4.670625929072946e-08,0.1799291146620292,310.73058928402884,8.602917052013782e-05,1.9872943396618497,131.33596410229674,0.004400099543016,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_042,5.325010930083692e-07,1.8377461020597505e-06,1.2434361973651156e-06,0.0986094948822297,91.64383778165129,0.0005558000646247,5.623866816464939,58.48884574807135,0.0135976034300814,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_051,1.4873847062242473e-08,3.0753396318954304e-08,5.3000408689774044e-08,0.0550943319579486,270.5143650346637,9.255828304943784e-05,1.2320259744474502,90.5387895135356,0.0028328260925176,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_062,3.57538604039399e-08,1.459066821891249e-06,3.4618459927224015e-08,1.7969549859175673,11.04794675379464,2.2194594579872995e-05,0.1299708277954853,122.35947559643142,0.00466243325273,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_079,5.90062302525272e-07,1.3886531388585973e-06,7.804462321349573e-05,0.1225495683981146,219.8060122875622,0.0001145166933149,0.062206592778955,41.32809942040651,0.0019710612680177,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_077,3.10479192132442e-05,3.7699789844377786e-08,0.000246911646752,0.0671837349231362,272.60619839013657,0.0001376409352209,0.2966066689304003,140.51878199431553,0.0049067241338473,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_065,6.98581155789652e-08,1.0456768648011589e-08,2.510164281018376e-05,0.3215678680194903,298.09137311667945,1.0621038032773723e-05,0.0010831916543845,136.38678381753888,0.0010107942500977,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_073,1.395042105220327e-06,2.421695878228551e-07,1.650817150674715e-05,0.5023384612333864,166.181080928851,0.0001624134092299,0.2781429486655944,102.98220936180935,0.0064895628327575,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_072,1.876770088507407e-07,7.100800465004495e-08,3.483645040427637e-06,0.4010478411257931,249.34838072843897,0.0001930269531947,2.7412482959585454,53.71591080345754,0.803324386016215,True,True,True,True,True,True,True,False,True
