candidate_policy,candidates_per_cell,file_id,region,condition,candidate_id,mechanism_cluster,buffering_phenotype,mean_trace_rmse_mV,mean_weighted_pass_fraction,holdout_mean_rmse_mV,holdout_mean_pass_fraction,ensemble_rank,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,dKs_activation_score_mean,long_range_distribution_fraction_mean,voltage_coupling_score_mean,kir_current_score_mean,step06_selection_rank,step06_selection_min_mechanism_score_distance,step06_selection_stable_phenotype_novel
top_k_per_cell,3,DH_1_MFA_BA,DH,MFA_BA,DH_1_MFA_BA__hybrid_optuna_094,M3,recruited_surface_gap_assisted_buffering,9.2903736093772,0.5002343326983888,9.2903736093772,0.5002343326983888,2,0.0010372803740804,2.2174884575555303e-05,8.794145260307696e-05,1.5799875219699269,0.8782379378143435,0.49949297865659,0.5020402316128584,0.4976611297850196,,,
top_k_per_cell,3,DH_1_MFA_BA,DH,MFA_BA,DH_1_MFA_BA__hybrid_pre_07,M3,recruited_surface_gap_assisted_buffering,9.2903736093772,0.5002343326983888,9.290373597988715,0.5002343324077609,1,0.0010372803740804,2.2174884575555303e-05,8.794145260307696e-05,1.5799875219699269,0.8782379378143435,0.49949297865659,0.5020402316128584,0.4976611297850196,,,
top_k_per_cell,3,DH_1_MFA_BA,DH,MFA_BA,DH_1_MFA_BA__hybrid_pre_06,M3,recruited_surface_gap_assisted_buffering,8.696195882764234,0.5001050617594884,8.696195882764234,0.5001050617594884,3,0.0002273248216595,6.013475300802908e-05,0.0005418197065445,2.78601962601174,0.9754067021171516,0.4993462497468193,0.5004129422113776,0.4987320902631796,,,
top_k_per_cell,3,DH_2_CONTROL,DH,CONTROL,DH_2_CONTROL__hybrid_optuna_044,M1,low_recruitment_local_storage,6.691091388914987,0.3205460241541799,6.680108984440455,0.3200100880015195,1,5.40962804894205e-07,5.414761089981999e-06,0.0005826907540579,0.0754642657045525,1.6559898877844283e-16,0.0,0.0774388167143483,0.4220118476583864,,,
top_k_per_cell,3,DH_2_MFA,DH,MFA,DH_2_MFA__hybrid_optuna_089,M2,kir_dominant_local_buffering,6.531705655214541,0.4039584588384186,6.514858125927517,0.4034658048643297,1,6.190306186306563e-08,9.920679668590177e-07,1.6949260351291846e-05,0.0599586399019006,0.0004670173367468,8.478057159548557e-06,0.0866869462282207,0.9000122943347556,,,
top_k_per_cell,3,DH_2_MFA,DH,MFA,DH_2_MFA__hybrid_optuna_091,M3,recruited_surface_gap_assisted_buffering,7.807778085020222,0.3928288749439391,7.807778085020222,0.3928288749439391,2,0.0012668199112166,1.6445254429280595e-05,2.674786110656064e-08,1.5246205448598618,0.5056532318279291,0.0194124450520875,0.5058294801618824,0.4941405464636627,,,
top_k_per_cell,3,DH_2_MFA,DH,MFA,DH_2_MFA__hybrid_optuna_094,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,8.713006577952283,0.3887037098188905,8.713006577952283,0.3887037098188905,3,3.934271817733303e-07,1.5172942370876184e-06,1.7928709763916669e-07,0.4042134344394826,1.628320531499146e-50,7.7437123633152925e-53,0.4561209410703309,0.5356245734566565,,,
top_k_per_cell,3,DH_2_MFA_BA,DH,MFA_BA,DH_2_MFA_BA__hybrid_optuna_064,M3,recruited_surface_gap_assisted_buffering,4.77898306267596,0.5002343326983888,4.77898306267596,0.5002343326983888,2,0.0010372803740804,2.2174884575555303e-05,8.794145260307696e-05,1.5799875219699269,0.8782379378143435,0.49949297865659,0.5020402316128584,0.4976611297850196,,,
top_k_per_cell,3,DH_2_MFA_BA,DH,MFA_BA,DH_2_MFA_BA__hybrid_pre_07,M3,recruited_surface_gap_assisted_buffering,4.77898306267596,0.5002343326983888,4.7789830521136345,0.5002343324077609,1,0.0010372803740804,2.2174884575555303e-05,8.794145260307696e-05,1.5799875219699269,0.8782379378143435,0.49949297865659,0.5020402316128584,0.4976611297850196,,,
top_k_per_cell,3,DH_2_MFA_BA,DH,MFA_BA,DH_2_MFA_BA__hybrid_optuna_010,M2,low_recruitment_local_storage,2.9036701877234896,0.5001120457786353,2.9036701877234896,0.5001120457786353,3,4.6999916600854346e-08,3.0725222386636305e-07,3.81850009183786e-05,0.4548026277868452,4.849679305425466e-122,6.586387739917803e-123,0.2251427780588999,0.5413559859999828,,,
