file_id,region_current,condition_current,n_candidates_current,n_accepted_candidates_current,best_trace_rmse_mV_current,best_weighted_pass_fraction_current,holdout_pass_count_current,holdout_mean_rmse_mV_current,holdout_mean_pass_fraction_current,cell_reviewer_facing_current,accepted_effective_cluster_count_current,accepted_effective_min_pairwise_distance_current,effective_diverse_candidates_current,effective_diverse_cluster_count_current,effective_diverse_min_pairwise_distance_current,region_previous,condition_previous,n_candidates_previous,n_accepted_candidates_previous,best_trace_rmse_mV_previous,best_weighted_pass_fraction_previous,holdout_pass_count_previous,holdout_mean_rmse_mV_previous,holdout_mean_pass_fraction_previous,cell_reviewer_facing_previous,accepted_effective_cluster_count_previous,accepted_effective_min_pairwise_distance_previous,effective_diverse_candidates_previous,effective_diverse_cluster_count_previous,effective_diverse_min_pairwise_distance_previous,n_candidates_delta,n_accepted_candidates_delta,best_trace_rmse_mV_delta,best_weighted_pass_fraction_delta,holdout_pass_count_delta,holdout_mean_rmse_mV_delta,holdout_mean_pass_fraction_delta,accepted_effective_cluster_count_delta,effective_diverse_candidates_delta,effective_diverse_cluster_count_delta,reviewer_facing_status_delta
DH_4_MFA_BA,DH,MFA_BA,160,143,6.609884214013679,0.4285714285714285,6,4.7079442000360245,0.4282362161238447,True,142,0.3280172943120024,5,5,4.503975333417233,DH,MFA_BA,111,111,5.7407085435306975,0.501154708041544,6,5.747983450966527,0.5011547091449916,True,80,0.0,3,3,4.896521495555243,49,32,0.8691756704829814,-0.07258327947011556,0,-1.0400392509305023,-0.07291849302114689,62,2,2,retained
DH_5_MFA,DH,MFA,160,146,9.408647751572198,0.4093113381084974,6,4.424925190851609,0.3348131633845714,True,145,0.3280172943120024,5,5,4.872997375563501,DH,MFA,111,111,7.721973853652833,0.3999937647234321,6,7.72208158024421,0.3999992487855623,True,61,0.0,3,3,4.897903635272086,49,35,1.6866738979193654,0.009317573385065281,0,-3.297156389392601,-0.06518608540099091,84,2,2,retained
DH_5_MFA_BA,DH,MFA_BA,160,143,5.126518991523111,0.4285714285714285,6,4.109784063322581,0.4202068674931178,True,142,0.3280172943120024,5,5,4.872997375563501,DH,MFA_BA,111,109,7.756491796912903,0.6539194370885316,6,7.756491791800969,0.6539205914599983,True,65,0.0,3,3,6.033442931675976,49,34,-2.6299728053897926,-0.22534800851710313,0,-3.646707728478388,-0.23371372396688045,77,2,2,retained
DH_6_MFA,DH,MFA,160,146,6.670575366243047,0.4093113381084974,6,1.6198899034206182,0.3343421859641223,True,145,0.3280172943120024,5,5,4.872997375563501,DH,MFA,111,110,6.095703691089766,0.4120279411059476,6,5.750019158511894,0.4041954131080984,True,68,0.0,3,3,5.67911797312695,49,36,0.5748716751532807,-0.0027166029974501904,0,-4.130129255091276,-0.06985322714397613,77,2,2,retained
DH_6_MFA_BA,DH,MFA_BA,160,143,4.945157774598075,0.4285714285714285,6,4.102799017994209,0.4259201113642808,True,142,0.3280172943120024,5,5,4.872997375563501,DH,MFA_BA,111,110,6.93457064559709,0.5002343326983888,6,6.934570635221192,0.5002343324077609,True,74,0.0,3,3,5.152053234792529,49,33,-1.9894128709990158,-0.0716629041269603,0,-2.831771617226983,-0.07431422104348012,68,2,2,retained
VH_1_MFA,VH,MFA,160,15,5.163288524059564,0.3576944007222063,0,1.6485099283513784,0.2817287435383575,False,15,1.0816393290654942,5,5,2.7301888438058897,VH,MFA,313,2,5.402458464176738,0.3187724787549762,5,5.324644203277079,0.3276902138441131,True,2,0.7655521258556603,2,2,0.7655521258556603,-153,13,-0.23916994011717385,0.0389219219672301,-5,-3.6761342749257,-0.04596147030575565,13,3,3,lost
VH_1_MFA_BA,VH,MFA_BA,160,137,2.5211191769045813,0.4498654078575875,6,2.487463209917657,0.4285210340311631,True,136,0.3280172943120024,5,5,5.061051065607079,VH,MFA_BA,111,105,2.8081588852331123,0.5187766904744362,6,2.8081588852331123,0.5187766904744362,True,59,0.0,3,3,5.094393570288059,49,32,-0.287039708328531,-0.0689112826168487,0,-0.3206956753154553,-0.0902556564432731,77,2,2,retained
VH_2_MFA,VH,MFA,160,15,6.34263123996091,0.3576944007222063,0,1.0950866692669683,0.2817539031920184,False,15,1.0816393290654942,5,5,2.7301888438058897,VH,MFA,313,3,5.6072346612343305,0.3497440689005848,5,5.12257282590481,0.3321493553625046,True,3,2.6077504645090817,3,3,2.6077504645090817,-153,12,0.7353965787265793,0.007950331821621526,-5,-4.027486156637842,-0.050395452170486243,12,2,2,lost
VH_2_MFA_BA,VH,MFA_BA,160,137,3.741502207863688,0.4498654078575875,6,3.666720048611892,0.4267495348089105,True,136,0.3280172943120024,5,5,5.061051065607079,VH,MFA_BA,111,110,4.028481856572046,0.675987803339035,6,4.0284818597053125,0.6759875065079649,True,59,0.0,3,3,3.207746512494258,49,27,-0.28697964870835824,-0.22612239548144747,0,-0.3617618110934204,-0.24923797169905443,77,2,2,retained
VH_3_MFA,VH,MFA,160,15,7.801229813668601,0.3576944007222063,0,3.304368827211111,0.2817280525220654,False,15,1.0816393290654942,5,5,2.7301888438058897,VH,MFA,313,3,7.389195056913349,0.3584921492336466,5,6.9702218706698025,0.346833542689512,True,3,2.4591026724248763,3,3,2.4591026724248763,-153,12,0.4120347567552525,-0.000797748511440266,-5,-3.6658530434586916,-0.0651054901674466,12,2,2,lost
VH_3_MFA_BA,VH,MFA_BA,160,137,5.030216502851217,0.4498654078575875,6,5.042048630899168,0.5073665841596079,True,136,0.3280172943120024,5,5,4.835902949879108,VH,MFA_BA,111,109,2.979300474876565,0.519781104306976,6,3.4552369572996446,0.5136404185316029,True,72,0.0,3,3,4.354369301059698,49,28,2.050916027974652,-0.0699156964493885,0,1.5868116735995232,-0.006273834371995024,64,2,2,retained
VH_4_MFA,VH,MFA,160,15,6.561639855365354,0.3576944007222063,0,2.847873381131547,0.2817394384284575,False,15,1.0816393290654942,5,5,2.7301888438058897,VH,MFA,313,3,5.171581437143092,0.3287282749973634,4,5.047342707603293,0.3211724855471737,True,3,3.407032564083057,3,3,3.407032564083057,-153,12,1.390058418222262,0.028966125724842917,-4,-2.1994693264717458,-0.0394330471187162,12,2,2,lost
VH_4_MFA_BA,VH,MFA_BA,160,137,3.0177252469331286,0.4498654078575875,6,2.9703373045839374,0.4265141016700344,True,136,0.3280172943120024,5,5,5.061051065607079,VH,MFA_BA,111,103,3.326927248225932,0.6801542227748391,6,3.3269272482252155,0.6801542227748142,True,62,0.0,3,3,3.8732658299256837,49,34,-0.3092020012928036,-0.23028881491725156,0,-0.35658994364127805,-0.2536401211047798,74,2,2,retained
VH_5_MFA,VH,MFA,160,15,5.7307080598131614,0.3576944007222063,0,1.4814562137357727,0.2817287162813461,False,15,1.0816393290654942,5,5,2.7301888438058897,VH,MFA,313,3,4.232572935369996,0.3084043599517155,3,4.232571365175923,0.3084043478733709,True,3,3.9627694252585797,3,3,3.9627694252585797,-153,12,1.4981351244431655,0.04929004077049082,-3,-2.7511151514401506,-0.026675631592024796,12,2,2,lost
VH_5_MFA_BA,VH,MFA_BA,160,137,4.417466997062481,0.4498654078575875,6,4.35500557332221,0.4283476462098838,True,136,0.3280172943120024,5,5,5.061051065607079,VH,MFA_BA,111,107,4.789063920279836,0.675987803339035,6,4.789063930386355,0.6759878585671723,True,70,0.0,3,3,3.88812085833964,49,30,-0.37159692321735527,-0.22612239548144747,0,-0.43405835706414475,-0.24764021235728845,66,2,2,retained
VH_6_MFA,VH,MFA,160,15,4.714965684074387,0.3576944007222063,0,2.092460601980616,0.2818373357694963,False,15,1.0816393290654942,5,5,2.7301888438058897,VH,MFA,1022,3,3.9887692014650806,0.3354154794431982,5,3.920621575093126,0.3310289548069808,True,3,1.5424385566485457,3,3,1.5424385566485457,-862,12,0.7261964826093061,0.0222789212790081,-5,-1.8281609731125101,-0.04919161903748448,12,2,2,lost
VH_6_MFA_BA,VH,MFA_BA,160,137,2.295459639771246,0.4498654078575875,6,2.258749918259373,0.4267639360598125,True,136,0.3280172943120024,5,5,5.061051065607079,VH,MFA_BA,111,109,1.2590276777575151,0.520049704856543,6,1.8740992526323503,0.5,True,65,0.0,3,3,4.160294692360847,49,28,1.0364319620137308,-0.07018429699895551,0,0.38465066562702255,-0.0732360639401875,71,2,2,retained
VH_7_OG_MFA,VH,MFA,160,13,7.02359044408442,0.3809523809523809,3,7.172695692976441,0.4326649879262562,True,13,1.2044490568196002,5,5,2.9093963269806165,VH,MFA,313,3,6.46843415738331,0.3904517319792778,6,6.463470133576611,0.3906704547285283,True,2,0.47232509362756336,3,2,0.47232509362756336,-153,10,0.5551562867011102,-0.009499351026896918,-3,0.7092255593998296,0.04199453319772789,11,2,3,retained
VH_7_OG_MFA_BA,VH,MFA_BA,160,140,2.7368552507879405,0.4306345874651696,6,2.781268049759507,0.4203315899680226,True,138,0.3280172943120024,5,5,5.061051065607079,VH,MFA_BA,111,98,4.369409920477477,0.5046372475552598,6,4.373827677778654,0.5020743828718134,True,59,0.0,3,3,4.140248014842561,49,42,-1.632554669689536,-0.07400266009009027,0,-1.592559628019147,-0.08174279290379077,79,2,2,retained
