run_dir,backend,objective,sampler,trials,run_holdout,pre_nfev,post_nfev,refine_top_k,candidate_top_k,hash,file_id,region,condition,accepted_n,effective_plausible_n,all_audited_plausible_n,best_trace_rmse_mV,best_weighted_pass_fraction,effective_clusters_t0.3,all_audited_clusters_t0.3,effective_clusters_t0.5,all_audited_clusters_t0.5,effective_clusters_t0.7,all_audited_clusters_t0.7,effective_clusters_t1.0,all_audited_clusters_t1.0,effective_min_pairwise_log_distance
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_1_MFA_BA,DH,MFA_BA,110,103,8,2.4184758989815243,0.5002343326983888,78,2,62,1,47,1,32,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_2_CONTROL,DH,CONTROL,1,1,0,6.691091388914987,0.3205460241541799,1,0,1,0,1,0,1,0,
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_2_MFA,DH,MFA,105,102,21,2.064789158473202,0.4039584588384186,78,11,65,8,44,5,33,5,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_2_MFA_BA,DH,MFA_BA,111,108,8,1.1829940489134851,0.5002343326983888,86,2,72,1,55,1,34,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_3_MFA,DH,MFA,111,108,8,1.2933943837927142,0.3999937647234321,75,2,60,1,46,1,30,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_3_MFA_BA,DH,MFA_BA,111,107,8,0.6836525041361315,0.6539194370885316,74,2,61,1,46,1,30,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_4_MFA,DH,MFA,105,101,8,4.148659849500755,0.407066898141559,74,2,60,1,49,1,41,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_4_MFA_BA,DH,MFA_BA,111,107,8,2.6704399925158744,0.501154708041544,91,2,77,1,64,1,52,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_5_MFA,DH,MFA,111,108,9,4.137036177519142,0.3999937647234321,75,3,58,2,45,2,34,2,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_5_MFA_BA,DH,MFA_BA,109,96,8,1.5994589671791946,0.6539194370885316,70,2,59,1,44,1,36,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_6_MFA,DH,MFA,110,106,8,1.3354972212461391,0.4120279411059476,80,2,64,1,49,1,30,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,DH_6_MFA_BA,DH,MFA_BA,110,107,8,1.2079578845769918,0.5002343326983888,86,2,71,1,50,1,39,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,VH_1_MFA_BA,VH,MFA_BA,105,101,10,0.8463795702593869,0.5187766904744362,75,4,56,3,43,3,26,3,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,VH_2_MFA_BA,VH,MFA_BA,110,96,8,1.059009024568509,0.675987803339035,64,2,54,1,40,1,29,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,VH_3_MFA,VH,MFA,6,6,0,4.279130642845022,0.3069932440052002,6,0,5,0,4,0,4,0,0.3461636416223235
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,VH_3_MFA_BA,VH,MFA_BA,109,105,8,0.9747041283783702,0.519781104306976,84,2,68,1,55,1,35,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,VH_4_MFA_BA,VH,MFA_BA,103,97,12,0.7954248429576718,0.6801542227748391,70,6,58,3,45,3,31,3,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,VH_5_MFA_BA,VH,MFA_BA,107,83,8,1.2208598350329785,0.675987803339035,67,2,56,1,43,1,32,1,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,VH_6_MFA,VH,MFA,2,2,0,4.874801540804602,0.3482425751582267,2,0,2,0,2,0,2,0,3.1065567713367317
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,VH_6_MFA_BA,VH,MFA_BA,109,101,11,0.4814082256468681,0.520049704856543,74,5,60,4,47,4,35,4,0.0
outputs/cell_fits_step04_acceptance_margin_100_all_notebook,,,,,,,,,,,VH_7_OG_MFA_BA,VH,MFA_BA,98,95,8,0.7742410901031159,0.5046372475552598,68,2,57,1,45,1,32,1,0.0
outputs/cell_fits_step04_hybrid_2_per_group,hybrid,"trace,feature,binary",tpe,50.0,True,40,20,3,,91c5068376273fc2,DH_1_MFA,DH,MFA,3,2,1,3.7866872507652505,0.3534483534350168,2,1,2,1,2,1,2,1,3.7339551694865376
outputs/cell_fits_step04_hybrid_2_per_group,hybrid,"trace,feature,binary",tpe,50.0,True,40,20,3,,91c5068376273fc2,DH_1_MFA_BA,DH,MFA_BA,3,2,0,2.445125044942111,0.4870544897751509,2,0,2,0,1,0,1,0,0.5295018468875898
outputs/cell_fits_step04_hybrid_2_per_group,hybrid,"trace,feature,binary",tpe,50.0,True,40,20,3,,91c5068376273fc2,DH_2_MFA,DH,MFA,3,3,2,2.642669578661149,0.3528579580177693,2,1,2,1,2,1,2,1,0.28790552876989395
outputs/cell_fits_step04_hybrid_2_per_group,hybrid,"trace,feature,binary",tpe,50.0,True,40,20,3,,91c5068376273fc2,DH_2_MFA_BA,DH,MFA_BA,3,3,0,1.570972043076612,0.4866862315412052,2,0,1,0,1,0,1,0,0.0
outputs/cell_fits_step04_hybrid_2_per_group,hybrid,"trace,feature,binary",tpe,50.0,True,40,20,3,,91c5068376273fc2,VH_1_MFA_BA,VH,MFA_BA,3,3,0,0.7195940376068779,0.5170919401043416,2,0,2,0,2,0,2,0,0.2835178132755769
outputs/cell_fits_step04_hybrid_2_per_group,hybrid,"trace,feature,binary",tpe,50.0,True,40,20,3,,91c5068376273fc2,VH_2_MFA_BA,VH,MFA_BA,3,3,0,1.1289432429414117,0.5196109877940183,2,0,2,0,2,0,2,0,0.004996954155594042
outputs/cell_fits_step04_hybrid_2_per_group_notebook,,,,,,,,,,,DH_1_MFA,DH,MFA,3,2,1,3.7866872507652505,0.3534483534350168,2,1,2,1,2,1,2,1,3.7339551694865376
outputs/cell_fits_step04_hybrid_2_per_group_notebook,,,,,,,,,,,DH_1_MFA_BA,DH,MFA_BA,3,2,0,2.445125044942111,0.4870544897751509,2,0,2,0,1,0,1,0,0.5295018468875898
outputs/cell_fits_step04_hybrid_2_per_group_notebook,,,,,,,,,,,DH_2_MFA,DH,MFA,3,3,2,2.642669578661149,0.3528579580177693,2,1,2,1,2,1,2,1,0.28790552876989395
outputs/cell_fits_step04_hybrid_2_per_group_notebook,,,,,,,,,,,DH_2_MFA_BA,DH,MFA_BA,3,3,0,1.570972043076612,0.4866862315412052,2,0,1,0,1,0,1,0,0.0
outputs/cell_fits_step04_hybrid_2_per_group_notebook,,,,,,,,,,,VH_1_MFA_BA,VH,MFA_BA,3,3,0,0.7195940376068779,0.5170919401043416,2,0,2,0,2,0,2,0,0.2835178132755769
outputs/cell_fits_step04_hybrid_2_per_group_notebook,,,,,,,,,,,VH_2_MFA_BA,VH,MFA_BA,3,3,0,1.1289432429414117,0.5196109877940183,2,0,2,0,2,0,2,0,0.004996954155594042
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group,hybrid,metric_scalar,tpe,50.0,True,40,20,3,,541334d2eb6c790d,1_DH_2_CONTROL,DH,CONTROL,3,3,0,5.952768448605847,0.3038141595388744,2,0,2,0,1,0,1,0,1.2613265755490733e-07
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group,hybrid,metric_scalar,tpe,50.0,True,40,20,3,,541334d2eb6c790d,DH_1_MFA,DH,MFA,3,3,2,4.670127267531863,0.3528579580177693,2,1,2,1,2,1,2,1,0.28790552876989356
outputs/cell_fits_step04_hybrid_metric_parallel_2_per_group,hybrid,metric_scalar,tpe,50.0,True,40,20,3,,541334d2eb6c790d,DH_1_MFA_BA,DH,MFA_BA,3,3,0,8.696195882764234,0.5002343326983888,3,0,2,0,2,0,2,0,0.4650835327446412
