selection_strategy,file_id,region,condition,accepted_rows,accepted_effective_cluster_count_t0_5,accepted_min_pairwise_effective_log_distance,best_trace_rmse_mV,best_weighted_pass_fraction
nsga2_trace_feature_160_archive_preseed_tpe160,VH_7_OG_MFA_BA,VH,MFA_BA,8,8,1.202857021672345,0.8131596865670545,0.432450345562307
nsga2_multi_160_archive,1_DH_1_CONTROL,DH,CONTROL,3,3,3.630138487370764,3.121615272667768,0.344036818059144
nsga2_multi_160_archive,3_DH_1_CONTROL,DH,CONTROL,4,4,1.739311943369206,7.114611768130707,0.5324307290947493
nsga2_multi_160_archive,DH_1_MFA,DH,MFA,12,12,0.5852657258346109,3.7381254364826457,0.4031325097757812
nsga2_multi_160_archive,DH_1_MFA_BA,DH,MFA_BA,8,6,0.0,2.511543951683057,0.4285714285714285
nsga2_multi_160_archive,DH_2_CONTROL,DH,CONTROL,2,2,6.772953109081665,6.633079251493229,0.3768793777814836
nsga2_multi_160_archive,DH_2_MFA,DH,MFA,20,16,0.0,2.164199128222254,0.408156840919506
nsga2_multi_160_archive,VH_1_MFA,VH,MFA,6,5,0.0,3.659040145811017,0.3759304774126342
nsga2_multi_160_archive,VH_4_MFA_BA,VH,MFA_BA,5,4,0.0,0.6759572866566931,0.5516662280250416
nsga2_multi_160_archive,VH_6_MFA,VH,MFA,8,6,0.0,3.572540891879504,0.3578239464822711
nsga2_multi_160_archive,VH_7_OG_MFA_BA,VH,MFA_BA,6,5,0.0,0.8131596865670545,0.4285714285714285
nsga2_trace_feature_160_archive,1_DH_1_CONTROL,DH,CONTROL,1,1,,5.597176039583417,0.344036818059144
nsga2_trace_feature_160_archive,3_DH_1_CONTROL,DH,CONTROL,3,3,0.9453910517948882,7.257825632160983,0.3416426348538745
nsga2_trace_feature_160_archive,DH_1_MFA,DH,MFA,8,7,0.49226601332313,3.7381254364826457,0.4097343527047815
nsga2_trace_feature_160_archive,DH_1_MFA_BA,DH,MFA_BA,5,5,1.4747941963496285,2.511543951683057,0.4285714285714285
nsga2_trace_feature_160_archive,DH_2_CONTROL,DH,CONTROL,7,6,0.2135152955832873,5.817994779960986,0.4657665182367025
nsga2_trace_feature_160_archive,DH_2_MFA,DH,MFA,14,12,0.0,2.15669139734178,0.3962818172763573
nsga2_trace_feature_160_archive,VH_1_MFA,VH,MFA,4,4,1.0033446740604477,3.856867521484182,0.3856701955022545
nsga2_trace_feature_160_archive,VH_4_MFA_BA,VH,MFA_BA,7,6,0.0,0.750971562276329,0.4285714285714285
nsga2_trace_feature_160_archive,VH_6_MFA,VH,MFA,3,3,1.106388048504254,3.663513469326608,0.3578239464822711
nsga2_trace_feature_160_archive,VH_7_OG_MFA_BA,VH,MFA_BA,8,8,1.202857021672345,0.8131596865670545,0.432450345562307
nsga2_multi_160_archive_refine_all_nfev15,1_DH_1_CONTROL,DH,CONTROL,5,3,0.0275797424265844,3.121615272667768,0.3752394981131798
nsga2_multi_160_archive_refine_all_nfev15,3_DH_1_CONTROL,DH,CONTROL,8,4,0.0,6.916801057696041,0.5595385298270341
nsga2_multi_160_archive_refine_all_nfev15,DH_1_MFA,DH,MFA,26,18,0.0,3.7381254364826457,0.4031325097757812
nsga2_multi_160_archive_refine_all_nfev15,DH_1_MFA_BA,DH,MFA_BA,20,14,0.0,2.511543951683057,0.4285714285714285
nsga2_multi_160_archive_refine_all_nfev15,DH_2_CONTROL,DH,CONTROL,3,2,0.4458537539103099,6.633079251493229,0.3809523809523809
nsga2_multi_160_archive_refine_all_nfev15,DH_2_MFA,DH,MFA,42,28,0.0,2.1159589322785024,0.408156840919506
nsga2_multi_160_archive_refine_all_nfev15,VH_1_MFA,VH,MFA,8,5,0.0,3.659040145811017,0.3759304774126342
nsga2_multi_160_archive_refine_all_nfev15,VH_4_MFA_BA,VH,MFA_BA,11,7,0.0,0.6759572866566931,0.5516662280250416
nsga2_multi_160_archive_refine_all_nfev15,VH_6_MFA,VH,MFA,10,7,0.0,3.572540891879504,0.3578239464822711
nsga2_multi_160_archive_refine_all_nfev15,VH_7_OG_MFA_BA,VH,MFA_BA,15,11,0.0,0.8131596865670545,0.4285714285714285
nsga2_multi_160_archive_refine_all_nfev30,1_DH_1_CONTROL,DH,CONTROL,5,3,0.0275797424265844,3.121615272667768,0.3752394981131798
nsga2_multi_160_archive_refine_all_nfev30,3_DH_1_CONTROL,DH,CONTROL,8,4,0.0,6.916801057696041,0.5595385298270341
nsga2_multi_160_archive_refine_all_nfev30,DH_1_MFA,DH,MFA,26,18,0.0,3.7381254364826457,0.4031325097757812
nsga2_multi_160_archive_refine_all_nfev30,DH_1_MFA_BA,DH,MFA_BA,20,14,0.0,2.511543951683057,0.4285714285714285
nsga2_multi_160_archive_refine_all_nfev30,DH_2_CONTROL,DH,CONTROL,3,2,0.4458537539103099,6.633079251493229,0.3809523809523809
nsga2_multi_160_archive_refine_all_nfev30,DH_2_MFA,DH,MFA,42,28,0.0,2.1159589322785024,0.408156840919506
nsga2_multi_160_archive_refine_all_nfev30,VH_1_MFA,VH,MFA,8,5,0.0,3.659040145811017,0.3759304774126342
nsga2_multi_160_archive_refine_all_nfev30,VH_4_MFA_BA,VH,MFA_BA,11,7,0.0,0.6759572866566931,0.5516662280250416
nsga2_multi_160_archive_refine_all_nfev30,VH_6_MFA,VH,MFA,10,7,0.0,3.572540891879504,0.3578239464822711
nsga2_multi_160_archive_refine_all_nfev30,VH_7_OG_MFA_BA,VH,MFA_BA,15,11,0.0,0.8131596865670545,0.4285714285714285
scipy_seed1_tpe160_pre60_post1,DH_1_MFA,DH,MFA,141,85,0.0,3.756671757836397,0.4135167588755741
scipy_seed1_tpe160_pre60_post1,DH_1_MFA_BA,DH,MFA_BA,144,82,0.0,2.529394507373287,0.4285714285714285
scipy_seed1_tpe160_pre60_post1,DH_2_CONTROL,DH,CONTROL,4,3,0.0496963275808414,8.094435435240547,0.4606422628505366
scipy_seed1_tpe160_pre60_post1,DH_2_MFA,DH,MFA,160,84,0.0,2.1109510948577785,0.4095153509680069
scipy_seed1_tpe160_pre60_post1,VH_1_MFA,VH,MFA,4,4,2.5979659268660544,4.507592012791013,0.3483087399234192
scipy_seed1_tpe160_pre60_post1,VH_4_MFA_BA,VH,MFA_BA,140,80,0.0,0.6489787271534398,0.4429221949731943
scipy_seed1_tpe160_pre60_post1,VH_6_MFA,VH,MFA,5,5,1.6783137127383003,3.760755982287373,0.3410454863087088
scipy_seed1_tpe160_pre60_post1,VH_7_OG_MFA_BA,VH,MFA_BA,150,94,0.0,0.5663216541660031,0.431648671579325
