run_dir,region,condition,cells,accepted_candidates,cells_2plus_eff_t0_5,cells_2plus_all_t0_5,median_eff_clusters_t0_5,median_eff_plausible_n,median_all_plausible_n
outputs/step04_objective100_screen/trace_shape_huber_centered_scaled,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_huber_centered_scaled,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_huber_centered_scaled,VH,MFA_BA,1,3,0,0,1.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_huber_default,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_huber_default,DH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_huber_default,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1_centered,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1_centered,DH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1_centered,VH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1_centered_scaled,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1_centered_scaled,DH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1_centered_scaled,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1_default,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1_default,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l1_default,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2,DH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2_centered,DH,MFA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2_centered,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2_centered,VH,MFA_BA,1,3,0,0,1.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2_centered_scaled,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2_centered_scaled,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2_centered_scaled,VH,MFA_BA,1,3,0,0,1.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2_default,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2_default,DH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_l2_default,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh_centered,DH,MFA,1,3,0,0,1.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh_centered,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh_centered,VH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh_centered_scaled,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh_centered_scaled,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh_centered_scaled,VH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh_default,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh_default,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_log_cosh_default,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective_bench_balanced_residual,DH,MFA,2,6,2,1,2.5,3.0,2.0
outputs/step04_objective_bench_balanced_residual,DH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/step04_objective_bench_balanced_residual,VH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/step04_objective_bench_metric_scalar,DH,MFA,2,6,2,0,2.0,3.0,1.0
outputs/step04_objective_bench_metric_scalar,DH,MFA_BA,2,6,2,0,2.0,3.0,0.5
outputs/step04_objective_bench_metric_scalar,VH,MFA_BA,2,6,2,1,2.0,3.0,2.0
outputs/step04_objective_bench_trace_shape,DH,MFA,2,6,2,1,2.0,3.0,2.0
outputs/step04_objective_bench_trace_shape,DH,MFA_BA,2,6,2,1,2.0,3.0,2.0
outputs/step04_objective_bench_trace_shape,VH,MFA_BA,2,6,2,1,2.0,3.0,2.0
outputs/step04_parallel_bench_workers_1,DH,CONTROL,2,4,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_1,DH,MFA,2,6,0,0,1.0,3.0,3.0
outputs/step04_parallel_bench_workers_1,DH,MFA_BA,2,6,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_1,VH,MFA,2,6,0,0,1.0,3.0,0.0
outputs/step04_parallel_bench_workers_1,VH,MFA_BA,2,6,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_2,DH,CONTROL,2,4,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_2,DH,MFA,2,6,0,0,1.0,3.0,3.0
outputs/step04_parallel_bench_workers_2,DH,MFA_BA,2,6,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_2,VH,MFA,2,6,0,0,1.0,3.0,0.0
outputs/step04_parallel_bench_workers_2,VH,MFA_BA,2,6,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_4,DH,CONTROL,2,4,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_4,DH,MFA,2,6,0,0,1.0,3.0,3.0
outputs/step04_parallel_bench_workers_4,DH,MFA_BA,2,6,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_4,VH,MFA,2,6,0,0,1.0,3.0,0.0
outputs/step04_parallel_bench_workers_4,VH,MFA_BA,2,6,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_8,DH,CONTROL,2,4,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_8,DH,MFA,2,6,0,0,1.0,3.0,3.0
outputs/step04_parallel_bench_workers_8,DH,MFA_BA,2,6,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_8,VH,MFA,2,6,0,0,1.0,3.0,0.0
outputs/step04_parallel_bench_workers_8,VH,MFA_BA,2,6,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_auto,DH,CONTROL,2,4,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_auto,DH,MFA,2,6,0,0,1.0,3.0,3.0
outputs/step04_parallel_bench_workers_auto,DH,MFA_BA,2,6,0,0,1.0,2.0,2.0
outputs/step04_parallel_bench_workers_auto,VH,MFA,2,6,0,0,1.0,3.0,0.0
outputs/step04_parallel_bench_workers_auto,VH,MFA_BA,2,6,0,0,1.0,2.0,2.0
outputs/step04_perf,DH,CONTROL,1,1,0,0,1.0,1.0,1.0
outputs/step04_test_downstream_reusable,DH,CONTROL,1,1,0,0,1.0,1.0,1.0
outputs/step04_test_hybrid,DH,CONTROL,1,3,0,0,1.0,3.0,3.0
outputs/step04_test_parallel,DH,CONTROL,2,2,0,0,1.0,1.0,1.0
outputs/step04_test_single,DH,CONTROL,1,1,0,0,1.0,1.0,1.0
