file_id,candidate_id,region,condition,selection_note,accepted_all6,sweep,current_na,baseline_delta_pred_minus_obs_mV,raw_rmse_mV,centered_rmse_mV,obs_stim_end_centered_mV,pred_stim_end_centered_mV,stim_end_delta_pred_minus_obs_mV
3_DH_1_CONTROL,3_DH_1_CONTROL__cand_08,DH,CONTROL,accepted_best,True,5,150,-20.95863896506178,23.47778481254379,4.53221101784752,22.82046956521745,13.592735608783315,-9.227733956434136
3_DH_1_CONTROL,3_DH_1_CONTROL__cand_08,DH,CONTROL,accepted_best,True,6,175,-20.19563896506179,23.550985316061013,5.99993948351677,25.719669565217444,13.592735608783315,-12.12693395643413
3_DH_2_CONTROL,3_DH_2_CONTROL__cand_09,DH,CONTROL,accepted_best,True,1,50,-18.216927536747463,16.933611349579095,3.2468473355890377,7.531169565217446,13.675092025995724,6.143922460778278
3_DH_2_CONTROL,3_DH_2_CONTROL__cand_09,DH,CONTROL,accepted_best,True,2,75,-17.4951362323998,17.085127495901588,1.7290461558995953,11.932356521739173,13.675092025995724,1.7427355042565509
3_DH_2_CONTROL,3_DH_2_CONTROL__cand_09,DH,CONTROL,accepted_best,True,3,100,-17.08774927587791,17.499608833990788,2.012919353873812,15.48304347826106,13.675092025995724,-1.8079514522653355
3_DH_2_CONTROL,3_DH_2_CONTROL__cand_09,DH,CONTROL,accepted_best,True,4,125,-16.324827536747463,17.65623845355129,3.3061877562907855,18.826704347826443,13.675092025995724,-5.151612321830719
3_DH_2_CONTROL,3_DH_2_CONTROL__cand_09,DH,CONTROL,accepted_best,True,5,150,-15.450436232399795,17.843232428813035,4.854503948650552,22.504760869565118,13.675092025995724,-8.829668843569394
3_DH_2_CONTROL,3_DH_2_CONTROL__cand_09,DH,CONTROL,accepted_best,True,6,175,-14.469879710660464,18.276958909793162,6.4379504472870055,26.04478260869545,13.675092025995724,-12.369690582699725
3_VH_1_CONTROL,3_VH_1_CONTROL__cand_09,VH,CONTROL,best_nonaccepted,False,1,50,-26.44716317674412,26.487376807125315,2.293912464248751,6.238095652173847,8.992543300357042,2.754447648183195
3_VH_1_CONTROL,3_VH_1_CONTROL__cand_09,VH,CONTROL,best_nonaccepted,False,2,75,-27.93778926370063,28.035473667607153,0.8638787999273838,9.261317391304509,8.992543300357042,-0.26877409094746696
3_VH_1_CONTROL,3_VH_1_CONTROL__cand_09,VH,CONTROL,best_nonaccepted,False,3,100,-28.018150133265863,29.32037282159213,1.8760929428362454,13.026404347826457,8.992543300357042,-4.033861047469415
3_VH_1_CONTROL,3_VH_1_CONTROL__cand_09,VH,CONTROL,best_nonaccepted,False,4,125,-28.4977283941354,30.72189695100441,3.121856237627209,15.603234782608922,8.992543300357042,-6.61069148225188
