db_name,condition,current_na,parameter_space,mode_index,parameter,base_value,loading,abs_loading,mode_class,coordinate_type,claim_guardrail
CONTROL_75nA.db,CONTROL,75,effective,8,volume_ratio_wa_wo,1.5270157179498545,-9.043581988563823e-05,9.043581988563823e-05,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,8,gki,77.53472186282886,-0.4472104610305477,0.4472104610305477,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,8,gl_a,7.156359793447492,-0.4472258048165239,0.4472258048165239,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,8,ca,872.0114735232637,-0.44714098553220616,0.44714098553220616,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,8,eps,0.002367184084906759,1.8631895750630867e-05,1.8631895750630867e-05,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,8,K_bath_value_middle,8.755954593865454,-1.100686276331622e-05,1.100686276331622e-05,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,9,P_gap_eff,7.688694890666813e-06,4.7144645572660335e-07,4.7144645572660335e-07,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,9,gamma_t_eff,8.311215695332037e-06,-4.7142878251896307e-07,4.7142878251896307e-07,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,9,gamma_s_eff,6.86542049542796e-05,-0.9999999999994444,0.9999999999994444,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,9,volume_ratio_wa_wo,1.5270157179498545,9.530506534822454e-11,9.530506534822454e-11,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,9,gki,77.53472186282886,4.7140078485505306e-07,4.7140078485505306e-07,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,9,gl_a,7.156359793447492,4.7141701280192096e-07,4.7141701280192096e-07,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,9,ca,872.0114735232637,4.713274706817592e-07,4.713274706817592e-07,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,9,eps,0.002367184084906759,-1.964361420297847e-11,1.964361420297847e-11,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,9,K_bath_value_middle,8.755954593865454,1.1602970810008531e-11,1.1602970810008531e-11,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,1,d,0.02263181880995338,0.05020063428577062,0.05020063428577062,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,1,pk,0.0003397294294034095,0.050200920406898164,0.050200920406898164,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,1,gt,1.0023845579551396,0.10060240247438841,0.10060240247438841,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,1,gs,8.280126206267084,0.0,0.0,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,1,wo,1309.7442131670828,-0.08855375121882435,0.08855375121882435,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,1,gki,77.53472186282886,-0.04358605587728784,0.04358605587728784,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,1,gl_a,7.156359793447492,0.09313894695846052,0.09313894695846052,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,1,ca,872.0114735232637,0.0008485370150942758,0.0008485370150942758,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,1,eps,0.002367184084906759,-0.10208589042558523,0.10208589042558523,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,1,K_bath_value_middle,8.755954593865454,-0.9777526767657264,0.9777526767657264,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,2,d,0.02263181880995338,-0.4570193893070107,0.4570193893070107,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,2,pk,0.0003397294294034095,-0.4570162251468301,0.4570162251468301,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,2,gt,1.0023845579551396,-0.435589142808384,0.435589142808384,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,2,gs,8.280126206267084,0.0,0.0,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,2,wo,1309.7442131670828,0.01879391316057256,0.01879391316057256,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,2,gki,77.53472186282886,-0.05375029757711961,0.05375029757711961,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,2,gl_a,7.156359793447492,0.03544806056950194,0.03544806056950194,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,2,ca,872.0114735232637,0.039731158253238676,0.039731158253238676,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,2,eps,0.002367184084906759,-0.6212368132086985,0.6212368132086985,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,2,K_bath_value_middle,8.755954593865454,-0.022780095169874892,0.022780095169874892,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,3,d,0.02263181880995338,-0.4115452120123955,0.4115452120123955,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,3,pk,0.0003397294294034095,-0.4115400547798337,0.4115400547798337,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,3,gt,1.0023845579551396,0.06064610335143431,0.06064610335143431,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,3,gs,8.280126206267084,0.0,0.0,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,3,wo,1309.7442131670828,-0.19901047511542388,0.19901047511542388,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,3,gki,77.53472186282886,-0.0019280622108087053,0.0019280622108087053,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,3,gl_a,7.156359793447492,0.5221782241862526,0.5221782241862526,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,3,ca,872.0114735232637,-0.04806112075059439,0.04806112075059439,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,3,eps,0.002367184084906759,0.5849283085175201,0.5849283085175201,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,3,K_bath_value_middle,8.755954593865454,-0.029281223556001407,0.029281223556001407,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,4,d,0.02263181880995338,0.05279021211356882,0.05279021211356882,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,4,pk,0.0003397294294034095,0.05278745829630005,0.05278745829630005,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,4,gt,1.0023845579551396,0.6289156310523009,0.6289156310523009,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,4,gs,8.280126206267084,-1.5265566588595902e-16,1.5265566588595902e-16,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,4,wo,1309.7442131670828,0.010621902420238716,0.010621902420238716,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,4,gki,77.53472186282886,-0.029999556307749583,0.029999556307749583,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,4,gl_a,7.156359793447492,0.572956418985685,0.572956418985685,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,4,ca,872.0114735232637,0.03316648905710946,0.03316648905710946,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,4,eps,0.002367184084906759,-0.4873647346443039,0.4873647346443039,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,raw,4,K_bath_value_middle,8.755954593865454,0.175998721449425,0.175998721449425,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
