file_id,region,condition,candidate_id,mechanism_cluster,dominant_mechanism,buffering_phenotype,current_na,sweep,perturbation,perturbation_factor,I_Kir_integral,I_kgap_integral,I_leak_integral,I_k_a_integral,I_Kir_peak_abs,I_kgap_peak_abs,gap_to_kir_integral_ratio,gap_kir_classification,gap_fraction,kir_fraction,leak_fraction,K_o_baseline,K_o_peak,K_o_final,K_o_delta_peak,K_o_recovery_error,K_o_peak_ratio_to_nominal,Vm_feature_pass_fraction,n_Vm_features_scored,Vm_feature_threshold_fallback,hidden_flux_plausible,active_stim_window_start_s,active_stim_window_end_s,robust_under_perturbation,functional_buffering_pass,perturbation_status,simulation_status,failure_reason
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,75,2,baseline_K_o_high,1.1,727.6658878229088,752.6066144378597,24.89212728380735,0.0,38.2815491097021,39.582105493299764,1.0342749701921174,mixed,0.5000161441912033,0.4834460453957663,0.016537810413030415,4.794311985856726,7.194589508475252,4.79375787535524,2.4002775226185262,0.0005541105014854608,0.9999999646568641,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,75,2,current_scale_low,0.75,254.43010412598548,279.3304677433489,24.886304250399782,0.0,13.382707980725966,14.680142660397586,1.0978672068028301,mixed,0.500012583411422,0.4554399478490125,0.044547468739565506,4.794312107308966,5.410074850187236,4.794005429034364,0.6157627428782702,0.00030667827460195696,0.7519643271662877,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,75,2,current_scale_high,1.25,1257.9414040239553,1282.9203193223202,24.903655077358074,0.0,66.03358467681188,67.33488761667908,1.0198569784081049,mixed,0.5000146662320802,0.4902792026903157,0.009706131077604022,4.794312107308966,8.976400575483224,4.793624605391635,4.182088468174258,0.0006875019173309127,1.2476598209883756,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,100,3,nominal,1.0,1007.8648696181566,1032.8297989570733,24.89987685326187,0.0,52.964395570476746,54.265640603283735,1.0247701156092235,mixed,0.5000157466734695,0.4879296722818769,0.012054581044653455,4.794312107308966,8.151026888202098,4.793674722088312,3.3567147808931326,0.0006373852206538189,1.0,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,100,3,eps_scale_low,0.5,993.3504515366021,1018.3114350142521,24.89918207597191,0.0,52.1992260450505,53.50044736979004,1.0251280738223234,mixed,0.5000151729802337,0.4877587354679129,0.01222609155185337,4.7887370664825735,8.103210872180853,4.787486734053985,3.314473805698279,0.0012503324285884077,0.9941337433090234,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,100,3,eps_scale_high,2.0,1015.2826759495252,1040.2492727567455,24.900234336680235,0.0,53.35593516523772,54.65719009553003,1.0245907838266528,mixed,0.5000159492030265,0.48801527116568577,0.011968779631287873,4.797141712163199,8.175340204275113,4.796819895649406,3.3781984921119133,0.00032181651379303844,1.0029828531308376,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,100,3,stimulus_duration_short,0.75,736.762718046664,755.0569671390183,18.240039441773405,0.0,52.75281671731735,54.05307747869261,1.0248305847245593,mixed,0.5000179495054721,0.4879030319336736,0.01207901856085419,4.794312107308966,8.151026888202098,4.793743424766735,3.3567147808931326,0.0005686825422310804,1.0,0.4444444444444444,9,region_specific,True,11.173,26.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,100,3,stimulus_duration_long,1.25,1279.8687197707197,1311.5085048822025,31.567358672454834,0.0,53.10844187923864,54.4103514777655,1.024721117582396,mixed,0.5000138063227657,0.4879511095686582,0.012035084108576033,4.794312107308966,8.151026888202098,4.7936263786677955,3.3567147808931326,0.0006857286411703356,1.0,0.4444444444444444,9,region_specific,True,11.173,36.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,100,3,baseline_K_o_low,0.9,1007.8618904554294,1032.8268236702825,24.8998515024,0.0,52.964325959326075,54.26556257028927,1.0247701926734942,mixed,0.5000157537937457,0.4879296425369952,0.012054603669258965,4.794303858172475,8.151027220166013,4.793674786496837,3.356723361993538,0.00062907167563786,1.0000000407266372,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,100,3,baseline_K_o_high,1.1,1007.8680067426394,1032.8329585942924,24.899903538495366,0.0,52.964469570986445,54.26571437781956,1.0247700608459018,mixed,0.5000157456152681,0.4879296973240294,0.012054557060702435,4.794311985856726,8.151026643092738,4.793674640891901,3.3567146572360125,0.0006373449648249263,0.9999999699290207,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
