scope,region,sweep,feature,experimental_contrast,cond_1,cond_2,mean_cond_1,mean_cond_2,ci_low_cond_1,ci_high_cond_1,ci_low_cond_2,ci_high_cond_2,estimate,pvalue,n_cond_1,n_cond_2,n_files,experimental_direction_raw,qvalue_bh,reject_bh_0p05,experimental_direction
region_VH,VH,1,rise_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.4783328009496657,0.834012945120073,0.3794435511542087,0.5772220507451227,0.6307765970381589,1.037249293201987,0.3556801441704073,0.004437805004909267,4,7,11,increase,0.012006170691910971,True,increase
region_VH,VH,2,rise_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.43153649554148377,0.7836837341677695,0.4054307324929351,0.45764225859003244,0.5965708801561466,0.9707965881793924,0.3521472386262857,0.0035648386034112223,4,7,11,increase,0.010731389509778975,True,increase
region_VH,VH,3,rise_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.38796223675647123,0.705232827873817,0.32455849928951563,0.45136597422342684,0.5476900113053652,0.8627756444422688,0.3172705911173458,0.002127924589500069,4,7,11,increase,0.007679261189465392,True,increase
region_VH,VH,4,rise_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.3625154423190473,0.6523172721275304,0.3318005646215394,0.3932303200165552,0.5105873952803294,0.7940471489747315,0.2898018298084831,0.0022497225952877995,4,7,11,increase,0.007768826228331969,True,increase
region_VH,VH,5,rise_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.327382000263869,0.5984027415606035,0.27346615937082763,0.38129784115691034,0.4634668454886674,0.7333386376325395,0.2710207412967345,0.0021635752187923233,4,7,11,increase,0.007692711889039371,True,increase
region_VH,VH,6,rise_tau_s,CONTROL_to_MFA,CONTROL,MFA,0.3113120041687898,0.560465196918465,0.266186820453222,0.3564371878843576,0.42701796866967956,0.6939124251672504,0.24915319274967518,0.0033274151285322146,4,7,11,increase,0.010238200395483737,True,increase
region_VH,VH,1,stim_end_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,6.28585,6.195057142857144,4.934532604317208,7.637167395682792,4.901119691881723,7.488994593832565,-0.09079285714285579,0.8964908617897634,4,7,11,decrease,0.9175172999127643,False,no_clear_change
region_VH,VH,2,stim_end_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,9.599300000000001,9.962228571428572,7.055640614882769,12.142959385117233,7.569447383101126,12.355009759756017,0.3629285714285704,0.7804719281056204,4,7,11,increase,0.8297581584663425,False,no_clear_change
region_VH,VH,3,stim_end_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,12.731925,13.145671428571427,10.596236771385572,14.86761322861443,9.86315589749538,16.428186959647476,0.41374642857142696,0.7893919369800506,4,7,11,increase,0.8341566196768029,False,no_clear_change
region_VH,VH,4,stim_end_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,15.737925,16.05815714285714,13.675496483797641,17.80035351620236,12.421495060805627,19.694819224908652,0.3202321428571402,0.848402357488028,4,7,11,increase,0.8811623139072482,False,no_clear_change
