condition,region,sweep,feature,n_total_rows,n_non_missing,missing_rate,median,q1,q3,iqr,acceptable_lower,acceptable_upper,threshold_scope,reliability_weight
CONTROL,DH,3,decay_slope_mV_per_s,7,7,0.0,18.394185826771675,10.036344588744518,21.437577933645702,11.401233344901184,-7.065505428607258,38.53942795099748,region_specific,1.0
CONTROL,DH,3,decay_tau_s,7,7,0.0,0.240000000000002,0.22000000000000064,0.3500000000000014,0.13000000000000078,0.024999999999999467,0.5450000000000026,region_specific,1.0
CONTROL,DH,3,peak_depolarization_mV,7,7,0.0,14.328639999999993,13.085479999999993,15.333809999999993,2.2483299999999993,9.712984999999994,18.706304999999993,region_specific,1.0
CONTROL,DH,3,plateau_slope_mV_per_s,7,7,0.0,0.010021402775634076,-0.04658757854235848,0.024193490393522206,0.07078106893588068,-0.1527591819461795,0.13036509379734323,region_specific,1.0
CONTROL,DH,3,return_slope_mV_per_s,7,7,0.0,0.04072174964638011,0.029769568643481722,0.04397211266207126,0.014202544018589537,0.008465752615597417,0.06527592868995556,region_specific,1.0
CONTROL,DH,3,rise_slope_mV_per_s,7,7,0.0,19.72740421545668,11.966858712478032,22.169067616032457,10.202208903554425,-3.336454642853605,37.472380971364096,region_specific,1.0
CONTROL,DH,3,rise_tau_s,7,7,0.0,0.21499999999999986,0.20800000000000018,0.3810000000000002,0.17300000000000004,-0.05149999999999988,0.6405000000000003,region_specific,1.0
CONTROL,DH,3,undershoot_magnitude_mV,7,7,0.0,1.8420559999999995,0.4041139999999963,2.1374280000000034,1.7333140000000071,-2.1958570000000144,4.737399000000014,region_specific,1.0
CONTROL,DH,4,decay_slope_mV_per_s,7,7,0.0,22.489914396887333,12.065508297301463,24.403780856412833,12.33827255911137,-6.441900541365591,42.911189695079884,region_specific,1.0
CONTROL,DH,4,decay_tau_s,7,7,0.0,0.2600000000000051,0.22750000000000092,0.422500000000003,0.19500000000000206,-0.06500000000000217,0.7150000000000061,region_specific,1.0
CONTROL,DH,4,peak_depolarization_mV,7,7,0.0,17.229035999999994,16.241214000000003,18.47110200000001,2.229888000000006,12.896381999999994,21.81593400000002,region_specific,1.0
CONTROL,DH,4,plateau_slope_mV_per_s,7,7,0.0,0.022882597359955795,-0.050862300345829295,0.034551860991448885,0.08541416133727818,-0.17898354235174657,0.16267310299736615,region_specific,1.0
CONTROL,DH,4,return_slope_mV_per_s,7,7,0.0,0.04705762625194746,0.03634138681600434,0.07379737643706975,0.037455989621065416,-0.019842597615593788,0.12998136086866788,region_specific,1.0
CONTROL,DH,4,rise_slope_mV_per_s,7,7,0.0,25.235940594059404,15.44218863011071,27.655118826111945,12.212930196001235,-2.8772066638911404,45.974514120113795,region_specific,1.0
CONTROL,DH,4,rise_tau_s,7,7,0.0,0.20199999999999996,0.18850000000000122,0.3620000000000001,0.17349999999999888,-0.0717499999999971,0.6222499999999984,region_specific,1.0
CONTROL,DH,4,undershoot_magnitude_mV,7,7,0.0,2.496319999999997,1.5370940000000033,2.905846000000004,1.3687520000000006,-0.5160339999999977,4.958974000000005,region_specific,1.0
CONTROL,DH,5,decay_slope_mV_per_s,7,7,0.0,24.86572444444447,13.274208712764283,27.171586755296275,13.897378042531992,-7.571858351033706,48.017653819094264,region_specific,1.0
CONTROL,DH,5,decay_tau_s,7,7,0.0,0.26300000000000523,0.2305000000000028,0.4314999999999998,0.20099999999999696,-0.07099999999999262,0.7329999999999952,region_specific,1.0
CONTROL,DH,5,peak_depolarization_mV,7,7,0.0,20.03787599999999,19.268348000000003,21.689990000000005,2.421642000000002,15.635885,25.32245300000001,region_specific,1.0
CONTROL,DH,5,plateau_slope_mV_per_s,7,7,0.0,0.04001085760230997,-0.017906815677401013,0.061922880790974216,0.07982969646837523,-0.13765136037996387,0.18166742549353707,region_specific,1.0
CONTROL,DH,5,return_slope_mV_per_s,7,7,0.0,0.05370323498212325,0.03722642969297957,0.07227774367343165,0.03505131398045208,-0.015350541277698554,0.12485471464410977,region_specific,1.0
CONTROL,DH,5,rise_slope_mV_per_s,7,7,0.0,30.594991304347825,19.72858910224511,33.008822068965436,13.280232966720327,-0.19176034783538043,52.92917151904592,region_specific,1.0
CONTROL,DH,5,rise_tau_s,7,7,0.0,0.1899999999999995,0.17499999999999893,0.333499999999999,0.15850000000000009,-0.0627500000000012,0.5712499999999991,region_specific,1.0
CONTROL,DH,5,undershoot_magnitude_mV,7,7,0.0,2.6587240000000065,1.5129700000000028,2.8497279999999883,1.3367579999999855,-0.4921669999999754,4.8548649999999665,region_specific,1.0
CONTROL,DH,6,decay_slope_mV_per_s,7,7,0.0,18.3635421221865,7.7113447913080275,29.051538214726456,21.340193423418427,-24.29894534381961,61.061828349854096,region_specific,1.0
CONTROL,DH,6,decay_tau_s,7,7,0.0,0.24599999999999866,0.19700000000000628,0.4940000000000033,0.29699999999999704,-0.24849999999998929,0.9394999999999989,region_specific,1.0
CONTROL,DH,6,peak_depolarization_mV,7,7,0.0,22.838152,21.716267999999992,24.579236999999996,2.862969000000003,17.42181449999999,28.873690500000002,region_specific,1.0
CONTROL,DH,6,plateau_slope_mV_per_s,7,7,0.0,0.050225303940980216,-0.07142976050327524,0.05962194492436243,0.13105170542763767,-0.2680073186447317,0.25619950306581896,region_specific,1.0
CONTROL,DH,6,return_slope_mV_per_s,7,7,0.0,0.06118527843152206,0.031029295613789098,0.06524789149474108,0.03421859588095198,-0.020298598207638876,0.11657578531616905,region_specific,1.0
CONTROL,DH,6,rise_slope_mV_per_s,7,7,0.0,33.90754285714291,24.436287815617824,38.669107683397584,14.23281986777976,3.087058013948184,60.01833748506722,region_specific,1.0
CONTROL,DH,6,rise_tau_s,7,7,0.0,0.1769999999999996,0.16799999999999926,0.30850000000000044,0.14050000000000118,-0.04275000000000251,0.5192500000000022,region_specific,1.0
CONTROL,DH,6,undershoot_magnitude_mV,7,7,0.0,2.6452639999999974,1.435844999999997,2.8607020000000034,1.4248570000000065,-0.7014405000000128,4.997987500000013,region_specific,1.0
CONTROL,VH,1,decay_slope_mV_per_s,4,3,0.25,5.855281057268751,5.345704273654302,5.911360296076255,0.5656560224219529,4.497220240021373,6.759844329709185,region_specific,0.7666666666666667
CONTROL,VH,1,decay_tau_s,4,3,0.25,0.3440000000000012,0.23499999999999943,0.35900000000000176,0.12400000000000233,0.048999999999995936,0.5450000000000053,region_specific,0.7666666666666667
CONTROL,VH,1,peak_depolarization_mV,4,4,0.0,6.737973999999994,6.021214999999998,7.3229389999999945,1.3017239999999966,4.068629000000003,9.27552499999999,region_specific,0.8
