condition,region,sweep,feature,n_total_rows,n_non_missing,missing_rate,median,q1,q3,iqr,acceptable_lower,acceptable_upper,threshold_scope,reliability_weight
MFA,ALL,6,undershoot_magnitude_mV,13,13,0.0,1.0673479999999955,0.5704844269663027,1.5968719999999976,1.0263875730336949,-0.9690969325842396,3.13645335955054,region_pooled,1.0
MFA_BA,ALL,1,decay_slope_mV_per_s,13,13,0.0,1.204905078773817,0.6520195319800384,1.509511968520735,0.8574924365406966,-0.6342191228310066,2.79575062333178,region_pooled,1.0
MFA_BA,ALL,1,decay_tau_s,13,13,0.0,0.9100378853801132,0.7391454728877704,1.1867362303872895,0.44759075749951904,0.06775933663849187,1.858122366636568,region_pooled,1.0
MFA_BA,ALL,1,peak_depolarization_mV,13,13,0.0,3.9586439999999925,2.7364120000000014,6.163704000000003,3.4272920000000013,-2.4045260000000006,11.304642000000005,region_pooled,0.5
MFA_BA,ALL,1,plateau_slope_mV_per_s,13,13,0.0,0.020034098413121704,0.01043929732150136,0.02485236122358455,0.01441306390208319,-0.011180298531623424,0.046471957076709335,region_pooled,1.0
MFA_BA,ALL,1,return_slope_mV_per_s,13,4,0.6923076923076923,0.03434854133393743,0.023480726040863556,0.06393767861262112,0.04045695257175756,-0.03720470281677279,0.12462310747025745,region_pooled,0.3551587301587302
MFA_BA,ALL,1,rise_slope_mV_per_s,13,13,0.0,0.5575834930510426,0.35212932650766515,0.8051777756028161,0.45304844909515096,-0.3274433471350613,1.4847504492455426,region_pooled,1.0
MFA_BA,ALL,1,rise_tau_s,13,13,0.0,1.9688854206896558,1.866750567685589,2.0710745383828026,0.20432397069721375,1.5602646116397683,2.3775604944286233,region_pooled,1.0
MFA_BA,ALL,1,stim_end_depolarization_mV,13,13,0.0,3.8360999999999947,2.6488999999999976,5.960100000000004,3.3112000000000066,-2.3179000000000123,10.926900000000014,region_pooled,0.5
MFA_BA,ALL,1,undershoot_magnitude_mV,13,13,0.0,0.0,0.0,0.0505680000000055,0.0505680000000055,-0.07585200000000825,0.12642000000001374,region_pooled,1.0
MFA_BA,ALL,2,decay_slope_mV_per_s,13,13,0.0,2.097682518678189,1.4494689140497845,2.2864378031013954,0.8369688890516109,0.194015580472368,3.541891136678812,region_pooled,1.0
MFA_BA,ALL,2,decay_tau_s,13,13,0.0,0.8729465130894525,0.6233718340611389,1.102132645631066,0.4787608115699271,-0.09476938329375173,1.8202738629859567,region_pooled,1.0
MFA_BA,ALL,2,peak_depolarization_mV,13,13,0.0,6.275139999999993,4.553684000000011,9.944432000000006,5.390747999999995,-3.5324379999999813,18.030554,region_pooled,0.5
MFA_BA,ALL,2,plateau_slope_mV_per_s,13,13,0.0,0.031718571711272424,0.02000284042117066,0.04178216761234981,0.021779327191179153,-0.01266615036559807,0.07445115839911853,region_pooled,1.0
MFA_BA,ALL,2,return_slope_mV_per_s,13,4,0.6923076923076923,0.03974824344808483,0.027237292844923114,0.13871096159236918,0.11147366874744606,-0.13997321027624599,0.30592146471353826,region_pooled,0.3551587301587302
MFA_BA,ALL,2,rise_slope_mV_per_s,13,13,0.0,0.7781375651484164,0.5144581121330616,1.3926511988163928,0.8781930866833312,-0.8028315178919352,2.7099408288413898,region_pooled,1.0
MFA_BA,ALL,2,rise_tau_s,13,13,0.0,2.0343907195967255,1.819944986512521,2.2298971714836213,0.4099521849711003,1.2050167090558705,2.844825448940272,region_pooled,1.0
MFA_BA,ALL,2,stim_end_depolarization_mV,13,13,0.0,6.185899999999997,4.437200000000004,9.7168,5.279599999999995,-3.482199999999988,17.63619999999999,region_pooled,0.5
MFA_BA,ALL,2,undershoot_magnitude_mV,13,13,0.0,0.0,0.0,0.14379999999999882,0.14379999999999882,-0.21569999999999823,0.35949999999999704,region_pooled,1.0
MFA_BA,ALL,3,decay_slope_mV_per_s,13,13,0.0,2.87281152308351,2.162467142778701,3.4661291323700896,1.3036619895913888,0.2069741583916176,5.421622116757173,region_pooled,1.0
MFA_BA,ALL,3,decay_tau_s,13,13,0.0,0.8678351143085479,0.5281403514644367,0.9959031349934406,0.4677627835290039,-0.17350382382906915,1.6975473102869465,region_pooled,1.0
MFA_BA,ALL,3,peak_depolarization_mV,13,13,0.0,8.925128000000008,6.350347999999997,12.827687999999995,6.477339999999998,-3.3656620000000004,22.543697999999992,region_pooled,0.5
MFA_BA,ALL,3,plateau_slope_mV_per_s,13,13,0.0,0.05178613960392022,0.04439096633700438,0.06444499014829837,0.020054023811293988,0.014309930620063398,0.09452602586523935,region_pooled,1.0
MFA_BA,ALL,3,return_slope_mV_per_s,13,5,0.6153846153846154,0.02781090764331192,0.02081350053361879,0.03180824191020581,0.010994741376587017,0.004321388468738262,0.048300353975086335,region_pooled,0.3551587301587302
MFA_BA,ALL,3,rise_slope_mV_per_s,13,13,0.0,0.989351213007197,0.6139839913510253,1.9016818466317604,1.2876978552807352,-1.3175627915700776,3.8332286295528633,region_pooled,1.0
MFA_BA,ALL,3,rise_tau_s,13,13,0.0,2.11208165661861,1.7201109713349716,2.384215419203745,0.6641044478687732,0.7239542995318118,3.3803720910069046,region_pooled,1.0
MFA_BA,ALL,3,stim_end_depolarization_mV,13,13,0.0,8.871399999999994,6.1462,12.683199999999996,6.5369999999999955,-3.659299999999993,22.488699999999987,region_pooled,0.5
MFA_BA,ALL,3,undershoot_magnitude_mV,13,13,0.0,0.0,0.0,0.11019599999999485,0.11019599999999485,-0.16529399999999228,0.27548999999998713,region_pooled,1.0
MFA_BA,ALL,4,decay_slope_mV_per_s,13,13,0.0,3.527084155764601,2.8669768026191744,5.352077923518973,2.4851011208997984,-0.860674878730523,9.079729604868671,region_pooled,1.0
MFA_BA,ALL,4,decay_tau_s,13,13,0.0,0.7557444485981293,0.49327596989818545,1.0563047767969707,0.5630288068987852,-0.35126724044999236,1.9008479871451485,region_pooled,1.0
MFA_BA,ALL,4,peak_depolarization_mV,13,13,0.0,11.881371999999999,7.797148000000011,16.639276000000002,8.842127999999992,-5.466043999999977,29.902467999999992,region_pooled,0.5
MFA_BA,ALL,4,plateau_slope_mV_per_s,13,13,0.0,0.06503097286913562,0.03951098738972349,0.1019547777673933,0.06244379037766981,-0.05415469817678123,0.19562046333389801,region_pooled,1.0
MFA_BA,ALL,4,return_slope_mV_per_s,13,6,0.5384615384615384,0.06399688743830037,0.03088036365219079,0.0851496887088548,0.05426932505666401,-0.05052362393280522,0.16655367629385082,region_pooled,0.3551587301587302
MFA_BA,ALL,4,rise_slope_mV_per_s,13,13,0.0,1.2340660696722725,0.7873346236815089,2.6252026904433485,1.8378680667618397,-1.9694674764612505,5.382004790586108,region_pooled,1.0
MFA_BA,ALL,4,rise_tau_s,13,13,0.0,2.1946232454849515,1.6088002622950768,2.6689000578827127,1.060099795587636,0.018650568913622934,4.2590497512641665,region_pooled,1.0
MFA_BA,ALL,4,stim_end_depolarization_mV,13,13,0.0,11.737099999999998,7.626400000000004,16.5497,8.923299999999998,-5.7585499999999925,29.934649999999998,region_pooled,0.5
MFA_BA,ALL,4,undershoot_magnitude_mV,13,13,0.0,0.017252000000006262,0.0,0.19393600000000077,0.19393600000000077,-0.29090400000000116,0.48484000000000194,region_pooled,1.0
MFA_BA,ALL,5,decay_slope_mV_per_s,13,13,0.0,4.0758664385993955,3.877017911239168,7.25990582065101,3.382887909411842,-1.197313952878595,12.334237684768773,region_pooled,1.0
