condition,sweep,feature,family,n_cells_DH,n_cells_VH,small_stratum,dh_median,vh_median,dh_mean,vh_mean,dh_minus_vh_median,dh_minus_vh_ci95_low,dh_minus_vh_ci95_high
CONTROL,3,decay_tau_s,primary_continuous,7,4,True,0.28075825425950285,0.3646615721768498,0.36979156391022067,0.3707432936786752,-0.08390331791734695,-0.17220195438521557,0.13389729539447615
CONTROL,4,decay_tau_s,primary_continuous,7,4,True,0.2877931141452734,0.38423813852730504,0.3883317699848808,0.39712637905971704,-0.09644502438203162,-0.18066482087317162,0.2174257755696963
CONTROL,5,decay_tau_s,primary_continuous,7,4,True,0.2907910446022193,0.38482163458357377,0.3966452074182593,0.38597609126772525,-0.0940305899813545,-0.18820566038849762,0.2863554003810718
CONTROL,6,decay_tau_s,primary_continuous,7,4,True,0.30977008663997196,0.38977448458180675,0.42589666570176377,0.39667028578252683,-0.08000439794183478,-0.18089645300446122,0.3719105808924432
MFA,1,decay_tau_s,primary_continuous,6,7,False,0.5392888245134344,0.7533546957708097,0.7877217586162123,0.7105480578375776,-0.2140658712573753,-0.3442606087950469,0.6401310286949915
MFA,2,decay_tau_s,primary_continuous,6,7,False,0.5268636877729698,0.7680244814159352,0.8277473444115783,0.6857864013220407,-0.2411607936429654,-0.3260303202901156,0.8267551543726341
MFA,3,decay_tau_s,primary_continuous,6,7,False,0.5437366985032384,0.7995942528428088,0.8548917313696288,0.7022794994336203,-0.25585755433957047,-0.3942246837232162,0.915629374070253
MFA,4,decay_tau_s,primary_continuous,6,7,False,0.580711791866662,0.78046932133676,0.9095124475034098,0.7134745746571107,-0.19975752947009795,-0.38461737189412515,0.8962888666893629
MFA,5,decay_tau_s,primary_continuous,6,7,False,0.5996666129314292,0.7721676950565808,0.9512811708695116,0.7261948925860844,-0.17250108212515158,-0.34390397115164006,1.0154703903527391
MFA,6,decay_tau_s,primary_continuous,6,7,False,0.6572777706141721,0.7725029719148893,0.9932150722981975,0.7393068989610876,-0.11522520130071712,-0.3119258993318074,0.9566268540198997
MFA_BA,1,decay_tau_s,primary_continuous,6,7,False,0.7505266561056203,1.0894909039812646,0.9545545491836478,0.9988326628845497,-0.3389642478756443,-0.4911398141591542,0.3857352339775417
MFA_BA,2,decay_tau_s,primary_continuous,6,7,False,0.7192396172647584,0.9275422545454575,0.9491221672854877,0.9014653636427994,-0.2083026372806991,-0.4787608115699271,0.6117044787121235
MFA_BA,3,decay_tau_s,primary_continuous,6,7,False,0.6812529826246312,0.8783855440048072,0.8980040340210304,0.8294212873936725,-0.19713256138017599,-0.459025128134229,0.6479073810349725
MFA_BA,4,decay_tau_s,primary_continuous,6,7,False,0.6391984582503198,0.7805734798387078,0.8790315490991804,0.8045062382465298,-0.141375021588388,-0.5619414090191981,0.7528832351563324
MFA_BA,5,decay_tau_s,primary_continuous,6,7,False,0.6361166244825611,0.7756826344827559,0.8718500738524781,0.7857301167361744,-0.13956601000019475,-0.523206109082501,0.8532108694317541
MFA_BA,6,decay_tau_s,primary_continuous,6,7,False,0.6474617043010191,0.7080251847968526,0.8816974529014369,0.7321582777590905,-0.06056348049583349,-0.4969440564124226,0.9102094293648787
CONTROL,1,has_undershoot,binary,7,4,True,1.0,0.5,0.8571428571428571,0.5,0.5,0.0,1.0
CONTROL,2,has_undershoot,binary,7,4,True,1.0,1.0,0.8571428571428571,1.0,0.0,0.0,0.0
CONTROL,3,has_undershoot,binary,7,4,True,1.0,1.0,0.8571428571428571,1.0,0.0,0.0,0.0
