condition,sweep,feature,family,n_cells_DH,n_cells_VH,small_stratum,dh_median,vh_median,dh_mean,vh_mean,dh_minus_vh_median,dh_minus_vh_ci95_low,dh_minus_vh_ci95_high
CONTROL,5,rise_tau_s,primary_continuous,7,4,True,0.19245524688090754,0.33026783518476677,0.2844005338106092,0.327382000263869,-0.13781258830385923,-0.17445683811360269,0.14543570205846718
CONTROL,6,rise_tau_s,primary_continuous,7,4,True,0.18507408028086658,0.3049416701410852,0.26598386049173656,0.3113120041687898,-0.11986758986021862,-0.1518908526734108,0.12165913350682445
MFA,1,rise_tau_s,primary_continuous,6,7,False,0.6982467794651654,0.8547013624454216,0.877365117731701,0.834012945120073,-0.15645458298025616,-0.419022380041126,0.6188044330033051
MFA,2,rise_tau_s,primary_continuous,6,7,False,0.6212905266990276,0.823941273124543,0.7960632802590725,0.783683734167769,-0.2026507464255154,-0.4109364412227272,0.5131771303472981
MFA,3,rise_tau_s,primary_continuous,6,7,False,0.5486220429672528,0.7829134689655177,0.6976842578931522,0.705232827873817,-0.2342914259982649,-0.356802762172979,0.4336274516921925
MFA,4,rise_tau_s,primary_continuous,6,7,False,0.5101192581029625,0.7196215722543364,0.6301561828677021,0.6523172721275304,-0.20950231415137388,-0.3339646478524223,0.27174594156821286
MFA,5,rise_tau_s,primary_continuous,6,7,False,0.5606725000396526,0.6855065885057456,0.597851640764814,0.5984027415606035,-0.12483408846609301,-0.33769194762287214,0.21890438106772786
MFA,6,rise_tau_s,primary_continuous,6,7,False,0.42125064534879186,0.6129092229024131,0.5188963861115786,0.560465196918465,-0.19165857755362126,-0.30472315917919346,0.19351025929901125
MFA_BA,1,rise_tau_s,primary_continuous,6,7,False,1.9066955669358485,2.0280035409836046,1.8010081981759616,2.0069331701159916,-0.12130797404775606,-0.6181546536692316,0.09072255075047764
MFA_BA,2,rise_tau_s,primary_continuous,6,7,False,1.9916297426640117,2.0343907195967255,1.8241307638093904,2.1319522240238236,-0.042760976932713746,-0.6704037562391217,0.272109754784406
MFA_BA,3,rise_tau_s,primary_continuous,6,7,False,1.794391785333037,2.384215419203745,1.6908443926826635,2.453528904867859,-0.5898236338707079,-1.5772720232860902,-0.06659643117969338
MFA_BA,4,rise_tau_s,primary_continuous,6,7,False,1.65817233945649,2.6689000578827127,1.6670639117548927,2.5763171922374504,-1.0107277184262227,-1.6099883076090222,-0.052763854349873296
MFA_BA,5,rise_tau_s,primary_continuous,6,7,False,1.6210949759347315,2.790670754098361,1.5418860710009863,2.6527700518084396,-1.1695757781636296,-2.1001535293618634,-0.10756425842191789
MFA_BA,6,rise_tau_s,primary_continuous,6,7,False,1.546186342273927,2.507088613551751,1.4880249260852718,2.619206799250655,-0.9609022712778241,-2.1859899824719484,-0.0006431274041510458
CONTROL,1,stim_end_depolarization_mV,primary_continuous,7,4,True,6.744399999999999,6.398,6.984157142857143,6.28585,0.34639999999999915,-0.4275325000000056,2.1481587500000106
CONTROL,2,stim_end_depolarization_mV,primary_continuous,7,4,True,10.162300000000002,9.0531,10.507628571428569,9.599300000000001,1.1092000000000013,-1.7822000000000031,3.424100000000003
CONTROL,3,stim_end_depolarization_mV,primary_continuous,7,4,True,13.64139999999999,12.6922,13.760399999999999,12.731925,0.9491999999999905,-2.3316000000000017,3.6652499999999932
CONTROL,4,stim_end_depolarization_mV,primary_continuous,7,4,True,16.3575,15.629549999999998,16.509157142857145,15.737925,0.7279500000000034,-1.281800000000004,3.572475000000006
CONTROL,5,stim_end_depolarization_mV,primary_continuous,7,4,True,19.622799999999998,18.2083,19.682085714285712,18.412775,1.4144999999999968,-0.612298750000002,5.11020000000001
CONTROL,6,stim_end_depolarization_mV,primary_continuous,7,4,True,22.552500000000002,20.751949999999997,22.399478571428567,21.144124999999995,1.8005500000000048,-4.137785000000001,4.966043749999997
MFA,1,stim_end_depolarization_mV,primary_continuous,6,7,False,8.158125000000002,5.740300000000005,8.682491666666666,6.195057142857144,2.417824999999997,0.546249999999997,5.1656399999999945
MFA,2,stim_end_depolarization_mV,primary_continuous,6,7,False,13.681050000000003,8.926399999999994,13.585933333333331,9.962228571428572,4.754650000000009,0.7873500000000035,7.4448775000000005
MFA,3,stim_end_depolarization_mV,primary_continuous,6,7,False,18.4997,11.779799999999994,18.12285,13.145671428571427,6.719900000000006,0.6993187499999985,10.616732500000008
MFA,4,stim_end_depolarization_mV,primary_continuous,6,7,False,22.431949999999997,14.703399999999995,22.021483333333332,16.05815714285714,7.728550000000002,2.3602087500000057,12.38249999999999
MFA,5,stim_end_depolarization_mV,primary_continuous,6,7,False,26.28785,17.016600000000004,26.228866666666665,18.88254285714286,9.271249999999995,1.9067237499999978,15.017699999999998
MFA,6,stim_end_depolarization_mV,primary_continuous,6,7,False,29.91635,20.1844,29.695633333333333,21.742485714285717,9.731950000000001,2.2491999999999948,15.170557500000008
MFA_BA,1,stim_end_depolarization_mV,primary_continuous,6,7,False,6.002800000000001,2.6488999999999976,6.269816666666666,3.0212142857142856,3.353900000000003,0.26704999999999757,6.787100000000002
MFA_BA,2,stim_end_depolarization_mV,primary_continuous,6,7,False,9.805299999999999,4.437200000000004,9.917683333333335,4.797342857142857,5.368099999999995,1.2459375000000026,9.552
MFA_BA,3,stim_end_depolarization_mV,primary_continuous,6,7,False,13.5712,6.1462,13.342799999999999,6.909614285714285,7.424999999999999,1.5076000000000036,12.920111249999998
MFA_BA,4,stim_end_depolarization_mV,primary_continuous,6,7,False,17.8772,7.626400000000004,17.060333333333332,9.009257142857141,10.250799999999995,2.688550000000001,15.028516249999996
MFA_BA,5,stim_end_depolarization_mV,primary_continuous,6,7,False,21.7453,9.6252,20.506283333333332,11.314599999999999,12.1201,1.7273000000000067,17.061305
MFA_BA,6,stim_end_depolarization_mV,primary_continuous,6,7,False,25.7492,11.911000000000001,23.75538333333333,13.664471428571428,13.838199999999997,1.0438000000000014,18.011247499999996
CONTROL,1,undershoot_magnitude_mV,conditional_continuous,7,4,True,1.164504000000008,0.38299599999999856,1.0064091428571444,0.4042759999999994,0.7815080000000094,-0.29593599999999753,1.613751999999991
CONTROL,2,undershoot_magnitude_mV,conditional_continuous,7,4,True,1.9103480000000062,1.1520319999999948,1.2628851428571457,1.1478509999999993,0.7583160000000113,-1.2209080000000014,1.1129938000000108
CONTROL,3,undershoot_magnitude_mV,conditional_continuous,7,4,True,1.8420560000000137,1.1213380000000157,1.363429142857147,1.134456000000009,0.720717999999998,-1.1580034500000285,1.5418560000000099
CONTROL,4,undershoot_magnitude_mV,conditional_continuous,7,4,True,2.49631999999999,1.4667659999999998,2.1817114285714294,1.3267640000000025,1.0295539999999903,-0.5933740000000114,2.1317650499999923
CONTROL,5,undershoot_magnitude_mV,conditional_continuous,7,4,True,2.6587240000000065,2.1669020000000003,2.153412000000006,2.156555000000001,0.4918220000000062,-1.0738086999999883,1.0342454500000158
CONTROL,6,undershoot_magnitude_mV,conditional_continuous,7,4,True,2.645264000000026,1.8882139999999943,2.1602665714285743,1.9892689999999966,0.7570500000000315,-1.0729639999999847,1.1836993500000115
MFA,1,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.42265000000000796,0.48007599999999684,0.6993050000000025,0.6031261714285766,-0.057425999999988875,-0.4948760000000121,0.9734793749999847
MFA,2,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.606408000000016,0.6789440000000013,0.9304126666666738,0.5994491428571403,-0.07253599999998528,-0.6354357499999861,1.3978940000000009
MFA,3,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.38837200000000394,0.911363999999999,0.5573693333333362,0.9665886857142881,-0.522991999999995,-1.305687549999991,0.3123295500000013
MFA,4,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.6300319999999964,0.9453079999999972,1.1047133333333317,0.9660668571428569,-0.3152760000000008,-1.162747999999997,1.7173580000000008
MFA,5,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.545691999999999,1.2780399999999972,1.0971379999999975,1.2227422857142898,-0.7323479999999982,-1.7375260000000239,1.5476759999999956
MFA,6,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.8652859999999905,1.0673479999999955,1.310505333333328,1.1515121752809014,-0.20206200000000507,-1.5038848000000087,2.050349999999991
MFA_BA,1,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.0,0.0,0.09227533333333326,0.06208000000000169,0.0,-0.15445200000000625,0.2768259999999998
MFA_BA,2,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.0,0.03089599999999848,0.08533133333333372,0.0722788571428552,-0.03089599999999848,-0.14379999999999882,0.22889999999999588
MFA_BA,3,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.0,0.0,0.24463400000000135,0.054761028571428075,0.0,-0.11019599999999485,0.733902000000004
MFA_BA,4,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.008626000000003131,0.019632000000001426,0.2883440000000033,0.08829371428571774,-0.011005999999998295,-0.1855256499999977,0.8367740000000055
MFA_BA,5,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.0,0.0017439999999950828,0.38508666666666497,0.0533245714285694,-0.0017439999999950828,-0.04520800000000236,1.1535595999999997
MFA_BA,6,undershoot_magnitude_mV,conditional_continuous,6,7,False,0.0,0.0,0.5217506666666694,0.02483828571428757,0.0,0.0,1.565252000000008
