family,feature,term,scope,sweep,experimental_contrast,estimate,pvalue,qvalue_bh,reject_bh_0p05,experimental_direction
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA_BA,7.921944047619046,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA_BA,-4.66647471824319,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA_BA,-1.0679025143541945,,,False,decrease
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA_BA,-0.05396192563929504,,,False,decrease
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA_BA,-2.82104731252506,,,False,decrease
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA_BA,0.07697221572885732,,,False,increase
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA_BA,0.33490509523809275,,,False,increase
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA_BA,-0.12424231227739171,,,False,decrease
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA,6.9913314476190465,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA,6.697794047619045,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA,-3.6726639810102686,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA,0.002592666203500016,,,False,increase
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA,-0.008540088870215956,,,False,decrease
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA,-5.888481374121282,,,False,decrease
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA,0.22468179341787298,,,False,increase
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA,-0.01200441337614544,,,False,decrease
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA,0.03730782135044242,,,False,increase
