file_id,file,region,condition,sweep,group_label,cell_label,step_source,stim_onset_s,stim_offset_s,baseline_mV,baseline_window_start_s,baseline_window_end_s,peak_t_s,peak_mV,peak_depolarization_mV,stim_end_level_mV,stim_end_depolarization_mV,stim_end_window_start_s,stim_end_window_end_s,stim_end_window_center_s,plateau_reached,plateau_level_mV,plateau_slope_mV_per_s,plateau_window_start_s,plateau_window_end_s,plateau_window_center_s,rise_t20_s,rise_t63_s,rise_t80_s,rise_y20_mV,rise_y63_mV,rise_y80_mV,rise_slope_mV_per_s,rise_tau_s,undershoot_min_t_s,undershoot_min_mV,undershoot_signed_mV,has_undershoot,undershoot_magnitude_mV,post_min_above_baseline_mV,decay_start_level_mV,decay_t80_s,decay_t63_s,decay_t20_s,decay_y80_mV,decay_y63_mV,decay_y20_mV,decay_slope_mV_per_s,decay_tau_s,final_t_s,final_mV,final_window_start_s,final_window_end_s,return_slope_mV_per_s,n_artifact_points_total,contract_region,contract_condition
DH_1_CONTROL,DH_1_CONTROL.atf,DH,CONTROL,1,DH_control,DH_1_CONTROL,IP_curr,21.11,41.088,-59.3292,16.11,20.109,40.616,-52.978888000000005,6.350311999999995,-53.0579,6.271300000000004,40.088,41.088,40.588,False,,0.013628030288815452,,,,21.209783920841065,21.86285069578783,22.705804694835685,-58.0591376,-55.315802816,-54.248950400000005,2.546881210630636,0.7528506957878314,49.49,-59.235832,0.09336799999999812,False,0.0,0.09336799999999812,-53.0579,41.195890358467246,41.78223166381766,42.46408006153846,-54.2934864,-56.962353024,-58.0002456,2.922874386239872,0.6942316638176607,69.749,-58.8409,69.499,69.999,,0,DH,CONTROL
DH_1_CONTROL,DH_1_CONTROL.atf,DH,CONTROL,2,DH_control,DH_1_CONTROL,IP_curr,21.11,41.088,-58.4442,16.11,20.109,40.106,-49.198851999999995,9.245348000000007,-49.2737,9.170500000000004,40.088,41.088,40.588,False,,0.004238220602903479,,,,21.20501536723164,21.796981559877178,22.55488165938865,-56.5951304,-52.601140064,-51.047921599999995,4.109450567237943,0.6869815598771787,50.522,-58.55151999999999,-0.1073199999999872,True,0.1073199999999872,0.0,-49.2737,41.19767916120577,41.851681398397666,42.606690694626465,-51.129264,-55.13728223999999,-56.695955999999995,3.950778164665256,0.7636813983976651,69.749,-58.3008,69.499,69.999,0.013039995839183804,0,DH,CONTROL
DH_1_CONTROL,DH_1_CONTROL.atf,DH,CONTROL,3,DH_control,DH_1_CONTROL,IP_curr,21.11,41.088,-58.0231,16.11,20.109,40.884,-45.891476000000004,12.131623999999995,-45.9473,12.075800000000001,40.088,41.088,40.588,False,,0.027928914915992725,,,,21.198630605455755,21.74565041860465,22.45860667926906,-55.5967752,-50.355913632000004,-48.3178008,5.777073510586792,0.6356504186046514,51.834,-58.5791,-0.5559999999999974,True,0.5559999999999974,0.0,-45.9473,41.2017990375802,41.96612262051916,42.906553672316385,-48.473659999999995,-53.9305976,-56.05274,4.445848009777013,0.8781226205191572,69.749,-57.959,69.499,69.999,0.03461345241417772,0,DH,CONTROL
DH_1_CONTROL,DH_1_CONTROL.atf,DH,CONTROL,4,DH_control,DH_1_CONTROL,IP_curr,21.11,41.088,-57.5714,16.11,20.109,40.938,-42.081171999999995,15.490228000000002,-42.1234,15.448,40.088,41.088,40.588,False,,0.01642270049268644,,,,21.18453521222411,21.6732419972106,22.31445947580645,-54.4733544,-47.78157590399999,-45.179217599999994,8.225451120532288,0.5632419972106,53.171,-58.31042,-0.7390200000000036,True,0.7390200000000036,0.0,-42.1234,41.19074416882636,41.89563840455841,42.87971918876755,-45.360803999999995,-52.35359664,-55.073016,5.750358581584105,0.8076384045584106,69.749,-57.5806,69.499,69.999,0.044023404512004094,0,DH,CONTROL
DH_1_CONTROL,DH_1_CONTROL.atf,DH,CONTROL,5,DH_control,DH_1_CONTROL,IP_curr,21.11,41.088,-57.3669,16.11,20.109,41.081,-38.767939999999996,18.598960000000005,-38.7909,18.576,40.088,41.088,40.588,False,,0.07916019422351081,,,,21.177514583591908,21.63872948433735,22.285198231009367,-53.647108,-45.61235728,-42.487731999999994,10.07451543228777,0.5287294843373509,54.955,-57.91430000000001,-0.5474000000000103,True,0.5474000000000103,0.0,-38.7909,41.188581024724456,41.942421581920904,43.04495752608048,-42.61558,-50.8768888,-54.08962000000001,6.180879790074148,0.8544215819209029,69.749,-57.4219,69.499,69.999,0.03328376368798234,0,DH,CONTROL
DH_1_CONTROL,DH_1_CONTROL.atf,DH,CONTROL,6,DH_control,DH_1_CONTROL,IP_curr,21.11,41.088,-56.9794,16.11,20.109,41.004,-36.089608,20.889792,-36.1267,20.8527,40.088,41.088,40.588,False,,0.05146773404112843,,,,21.174190081372334,21.599667541359544,22.174001872074882,-52.8014416,-43.777051455999995,-40.26756639999999,12.536234635913516,0.4896675413595446,56.494,-57.318728,-0.33932800000000185,True,0.33932800000000185,0.0,-36.1267,41.182791577698694,41.987967794071764,43.226302164502165,-40.3651056,-49.520061696,-53.0803224,6.222241706067976,0.8999677940717632,69.749,-56.8909,69.499,69.999,0.03227672576386256,0,DH,CONTROL
DH_2_CONTROL,DH_2_CONTROL.atf,DH,CONTROL,1,DH_control,DH_2_CONTROL,IP_curr,21.108,41.099,-60.6659,16.108,20.107,40.26,-52.697391999999994,7.968508000000007,-52.7161,7.949800000000003,40.099,41.099,40.599,False,,0.024964565499265227,,,,21.178220734463277,21.720657397379913,22.558136030828518,-59.0721984,-55.629802944,-54.291093599999996,3.4647813620108794,0.6126573973799125,51.166,-60.79552,-0.12962000000000273,True,0.12962000000000273,0.0,-52.7161,41.15245007680492,41.586231253071254,42.36341217798595,-54.331984,-57.82229344,-59.179636,4.003140969706786,0.4872312530712577,69.749,-60.199,69.499,69.999,0.032100306731959606,0,DH,CONTROL
DH_2_CONTROL,DH_2_CONTROL.atf,DH,CONTROL,2,DH_control,DH_2_CONTROL,IP_curr,21.108,41.099,-59.7412,16.108,20.107,38.306,-47.944336,11.796864,-47.9706,11.770600000000002,40.099,41.099,40.599,True,-47.971564,-0.0053016180713465685,38.099,41.099,39.599,21.16539903295129,21.661862827190824,22.379967030567684,-57.3818272,-52.285581952,-50.303708799999995,5.827683928681551,0.553862827190823,50.177,-59.714116,0.027084000000002106,False,0.0,0.027084000000002106,-47.9706,41.14612192129283,41.61386074418604,42.2079156448203,-50.3193032,-55.392502111999995,-57.3654128,6.636043747359502,0.5148607441860449,69.749,-59.0912,69.499,69.999,,0,DH,CONTROL
DH_2_CONTROL,DH_2_CONTROL.atf,DH,CONTROL,3,DH_control,DH_2_CONTROL,IP_curr,21.108,41.099,-58.7158,16.108,20.107,39.868,-43.624391999999986,15.091408000000015,-43.6523,15.063500000000005,40.099,41.099,40.599,True,-43.654424000000006,-0.010053521273943164,38.099,41.099,39.599,21.166123173452316,21.655367149927223,22.395942494714593,-55.6975184,-49.17803014399999,-46.64267359999999,7.362743976656824,0.5473671499272221,50.779,-58.645751999999995,0.070048000000007,False,0.0,0.070048000000007,-43.6523,41.141104189976026,41.57358713633704,42.527770154686074,-46.6509904,-53.128161664,-55.647061599999994,6.487554630275417,0.47458713633704264,69.749,-58.3527,69.499,69.999,,0,DH,CONTROL
DH_2_CONTROL,DH_2_CONTROL.atf,DH,CONTROL,4,DH_control,DH_2_CONTROL,IP_curr,21.108,41.099,-58.2062,16.108,20.107,35.35,-40.11413200000001,18.09206799999999,-40.3961,17.810100000000006,40.099,41.099,40.599,True,-40.399412000000005,-0.06809055625917071,38.099,41.099,39.599,21.164384938036225,21.63132431038251,22.397583044315986,-54.587786400000006,-46.77201302400001,-43.73254560000001,8.802511733291121,0.5233243103825096,51.911,-59.07959199999999,-0.8733919999999884,True,0.8733919999999884,0.0,-40.3961,41.148480869373344,41.700511975728155,42.45162459016393,-44.1327984,-52.20406694399999,-55.3428936,8.602347554726423,0.6015119757281582,69.749,-58.67,69.499,69.999,0.022961767014238674,0,DH,CONTROL
