group,sweep,feature,n,mean,median,std,min,q1,q3,max,iqr,ci95_low,ci95_high,acceptable_low_q1,acceptable_high_q3,acceptable_low_ci95,acceptable_high_ci95
VH,3,undershoot_magnitude_mV,4,1.1345,1.1213,0.4687,0.692,0.7524,1.5034,1.6032,0.7509,0.3886,1.8803,0.7524,1.5034,0.3886,1.8803
pooled,3,return_slope_mV_per_s,9,0.0462,0.0407,0.0117,0.0298,0.0398,0.0527,0.0679,0.0129,0.0372,0.0552,0.0398,0.0527,0.0372,0.0552
T,3,return_slope_mV_per_s,5,0.0453,0.0407,0.0141,0.0298,0.0407,0.0472,0.0679,0.0065,0.0278,0.0628,0.0407,0.0472,0.0278,0.0628
VH,3,return_slope_mV_per_s,4,0.0473,0.0462,0.0099,0.0382,0.0394,0.0541,0.0585,0.0147,0.0316,0.063,0.0394,0.0541,0.0316,0.063
pooled,4,peak_depolarization_mV,9,16.8185,16.9922,1.9159,13.5059,15.8277,18.6443,19.2371,2.8166,15.3458,18.2912,15.8277,18.6443,15.3458,18.2912
T,4,peak_depolarization_mV,5,17.1629,17.229,2.2669,13.5059,16.9922,18.8501,19.2371,1.8579,14.3481,19.9776,16.9922,18.8501,14.3481,19.9776
VH,4,peak_depolarization_mV,4,16.3881,15.965,1.5785,14.9779,15.6153,16.7378,18.6443,1.1225,13.8764,18.8998,15.6153,16.7378,13.8764,18.8998
pooled,4,rise_slope_mV_per_s,9,21.1252,22.0805,6.8141,12.7987,14.9034,26.6747,29.9798,11.7713,15.8874,26.363,14.9034,26.6747,15.8874,26.363
T,4,rise_slope_mV_per_s,5,26.5213,26.6747,3.0752,22.0805,25.2359,28.6355,29.9798,3.3996,22.7029,30.3397,25.2359,28.6355,22.7029,30.3397
VH,4,rise_slope_mV_per_s,4,14.3801,14.3231,1.4207,12.7987,13.5067,15.1965,16.0755,1.6897,12.1194,16.6408,13.5067,15.1965,12.1194,16.6408
pooled,4,rise_tau_s,9,0.2782,0.236,0.082,0.202,0.203,0.359,0.386,0.156,0.2152,0.3412,0.203,0.359,0.2152,0.3412
T,4,rise_tau_s,5,0.2104,0.203,0.0146,0.202,0.202,0.209,0.236,0.007,0.1923,0.2285,0.202,0.209,0.1923,0.2285
VH,4,rise_tau_s,4,0.363,0.3635,0.0195,0.339,0.354,0.3725,0.386,0.0185,0.3319,0.3941,0.354,0.3725,0.3319,0.3941
pooled,4,plateau_slope_mV_per_s,9,-0.0289,-0.045,0.0395,-0.0943,-0.0482,0.0001,0.0267,0.0483,-0.0592,0.0015,-0.0482,0.0001,-0.0592,0.0015
T,4,plateau_slope_mV_per_s,5,-0.0293,-0.0482,0.0526,-0.0943,-0.0537,0.023,0.0267,0.0767,-0.0946,0.036,-0.0537,0.023,-0.0946,0.036
